Case,Activity,Timestamp,Resource,label
1001,Signal food complete,2024-06-20 00:13:19.494,Cook-000003,
1001,Bring food,2024-06-20 01:44:38.783,Cook helper-000003,
1001,Deliver to customer,2024-06-20 01:45:26.443,Waiter-000005,
1001,EVENT 8 END,2024-06-20 01:46:33.065,,
1002,Take order,2024-06-18 20:30:00.000,Waiter-000004,
1002,start,2024-06-18 20:30:00.000,,
1002,Review order,2024-06-18 20:30:24.163,Waiter-000001,
1002,prepare drinks,2024-06-18 20:30:41.710,Barman-000001,
1002,Bring drinks,2024-06-18 20:37:31.400,Barman-000003,
1002,Review drinks,2024-06-18 20:50:50.389,Waiter-000001,
1002,Prepare main course,2024-06-20 00:39:07.319,Cook-000001,
1002,Signal food complete,2024-06-22 01:38:06.105,Cook-000001,
1002,Bring food,2024-06-24 18:18:49.880,Cook helper-000002,
1002,Deliver to customer,2024-06-24 18:19:24.687,Waiter-000005,
1002,EVENT 8 END,2024-06-24 18:19:54.961,,
1003,Take order,2024-06-18 20:45:00.000,Waiter-000002,
1003,start,2024-06-18 20:45:00.000,,
1003,Review order,2024-06-18 20:50:03.190,Waiter-000004,
1003,prepare drinks,2024-06-18 20:50:55.586,Barman-000001,
1003,Bring drinks,2024-06-18 20:51:59.104,Barman-000003,
1003,Review drinks,2024-06-18 20:59:42.660,Waiter-000003,
1003,Prepare main course,2024-06-20 00:46:30.699,Cook-000002,
1003,Signal food complete,2024-06-24 18:12:56.855,Cook-000003,
1003,Bring food,2024-06-24 18:43:42.677,Cook helper-000003,
1003,Deliver to customer,2024-06-24 18:46:12.284,Waiter-000001,
1003,EVENT 8 END,2024-06-24 18:46:51.950,,
1004,Take order,2024-06-18 21:00:00.000,Waiter-000005,
1004,start,2024-06-18 21:00:00.000,,
1004,Review order,2024-06-18 21:00:10.384,Waiter-000002,
1004,prepare drinks,2024-06-18 21:00:48.434,Barman-000002,
1004,Bring drinks,2024-06-18 21:07:08.189,Barman-000001,form-based events(2024-06-18 21:07:08.189)
1004,Review drinks,2024-06-18 21:07:08.189,Waiter-000002,form-based events(2024-06-18 21:07:18.361)
1004,Prepare main course,2024-06-20 01:10:33.621,Cook-000001,
1004,Signal food complete,2024-06-24 19:00:00.067,Cook-000002,
1004,Bring food,2024-06-24 19:07:30.166,Cook helper-000001,
1004,Deliver to customer,2024-06-24 19:07:38.623,Waiter-000004,
1004,EVENT 8 END,2024-06-24 19:09:07.526,,
1005,Take order,2024-06-18 21:15:00.000,Waiter-000004,
1005,start,2024-06-18 21:15:00.000,,
1005,Review order,2024-06-18 21:17:56.747,Waiter-000003,
1005,prepare drinks,2024-06-18 21:21:34.439,Barman-000001,
1005,Bring drinks,2024-06-18 21:30:04.761,Barman-000003,
1005,Review drinks,2024-06-18 21:31:38.749,Waiter-000004,
1005,prepare drinks,2024-06-18 21:31:54.439,Barman-000002,
1005,Bring drinks,2024-06-18 21:38:16.789,Barman-000001,
1005,Review drinks,2024-06-18 21:41:13.254,Waiter-000002,
1005,prepare drinks,2024-06-18 21:41:34.474,Barman-000002,
1005,Bring drinks,2024-06-18 21:45:21.943,Barman-000001,
1005,Review drinks,2024-06-18 21:46:26.165,Waiter-000002,
1005,Prepare main course,2024-06-20 01:26:29.377,Cook-000002,
1005,Signal food complete,2024-06-24 18:27:07.598,Cook-000001,
1005,Bring food,2024-06-24 18:57:15.166,Cook helper-000002,
1005,Deliver to customer,2024-06-24 18:58:39.610,Waiter-000005,
1005,EVENT 8 END,2024-06-24 18:59:29.316,,
1006,Take order,2024-06-18 21:30:00.000,Waiter-000001,
1006,start,2024-06-18 21:30:00.000,,
1006,Review order,2024-06-18 21:31:54.598,Waiter-000005,
1006,prepare drinks,2024-06-18 21:33:57.843,Barman-000001,
1006,Bring drinks,2024-06-18 21:36:09.551,Barman-000003,form-based events(2024-06-18 21:36:09.551)
1006,Review drinks,2024-06-18 21:36:09.551,Waiter-000001,form-based events(2024-06-18 21:46:14.419)
1006,Prepare main course,2024-06-20 01:49:22.799,Cook-000002,
1006,Signal food complete,2024-06-24 18:43:42.677,Cook-000003,
1006,Bring food,2024-06-24 19:14:29.559,Cook helper-000002,
1006,Deliver to customer,2024-06-24 19:21:13.601,Waiter-000004,
1006,EVENT 8 END,2024-06-24 19:21:26.589,,
1007,Take order,2024-06-18 21:45:00.000,Waiter-000004,
1007,start,2024-06-18 21:45:00.000,,
1007,Review order,2024-06-18 21:46:14.678,Waiter-000005,
1007,prepare drinks,2024-06-18 21:47:04.392,Barman-000002,
1007,Bring drinks,2024-06-18 21:48:31.953,Barman-000003,
1007,Review drinks,2024-06-18 21:50:36.706,Waiter-000003,
1007,Prepare main course,2024-06-20 18:10:48.793,Cook-000002,
1007,Signal food complete,2024-06-24 19:07:30.166,Cook-000002,
1007,Bring food,2024-06-24 19:14:26.030,Cook helper-000003,
1007,Deliver to customer,2024-06-24 19:14:38.481,Waiter-000005,
1007,EVENT 8 END,2024-06-24 19:16:13.698,,
1008,Take order,2024-06-18 22:00:00.000,Waiter-000004,
1008,start,2024-06-18 22:00:00.000,,
1008,Review order,2024-06-18 22:00:16.772,Waiter-000002,
1008,Prepare starter,2024-06-18 22:00:30.532,Cook helper-000001,
1008,prepare drinks,2024-06-18 22:00:30.532,Barman-000001,
1008,Bring drinks,2024-06-18 22:01:48.628,Barman-000002,
1008,Review drinks,2024-06-18 22:03:29.281,Waiter-000005,
1008,Prepare main course,2024-06-20 18:21:07.745,Cook-000001,
1008,Signal food complete,2024-06-24 19:23:40.392,Cook-000001,
1008,Bring food,2024-06-24 19:28:16.115,Cook helper-000001,
1008,Deliver to customer,2024-06-24 19:30:08.117,Waiter-000002,
1008,EVENT 8 END,2024-06-24 19:35:03.961,,
1009,Take order,2024-06-18 22:15:00.000,Waiter-000004,
1009,start,2024-06-18 22:15:00.000,,
1009,Review order,2024-06-18 22:17:34.600,Waiter-000002,
1009,prepare drinks,2024-06-18 22:18:22.408,Barman-000003,
1009,Bring drinks,2024-06-18 22:19:37.921,Barman-000001,
1009,Review drinks,2024-06-18 22:21:38.675,Waiter-000001,
1009,prepare drinks,2024-06-18 22:22:32.839,Barman-000002,
1009,Bring drinks,2024-06-18 22:23:36.243,Barman-000003,
1009,Review drinks,2024-06-18 22:23:52.279,Waiter-000003,
1009,prepare drinks,2024-06-18 22:25:00.964,Barman-000001,
1009,Bring drinks,2024-06-18 22:36:41.123,Barman-000003,
1009,Review drinks,2024-06-18 22:36:47.101,Waiter-000003,
1009,Prepare main course,2024-06-20 19:05:19.295,Cook-000002,
1009,Signal food complete,2024-06-24 19:28:52.479,Cook-000002,
1009,Bring food,2024-06-24 19:35:55.163,Cook helper-000002,
1009,Deliver to customer,2024-06-24 19:52:20.239,Waiter-000005,
1009,EVENT 8 END,2024-06-24 19:53:20.950,,
101,Take order,2024-05-09 19:15:00.000,Waiter-000004,
101,start,2024-05-09 19:15:00.000,,
101,Review order,2024-05-09 19:15:11.695,Waiter-000001,
101,Prepare starter,2024-05-09 19:15:14.638,Cook helper-000002,
101,prepare drinks,2024-05-09 19:15:14.638,Barman-000003,
101,Bring drinks,2024-05-09 19:25:44.723,Barman-000001,
101,Prepare main course,2024-05-09 19:26:57.917,Cook-000003,
101,Review drinks,2024-05-09 19:28:06.096,Waiter-000004,
101,prepare drinks,2024-05-09 19:28:36.442,Barman-000002,
101,Bring drinks,2024-05-09 19:29:27.325,Barman-000003,
101,Review drinks,2024-05-09 19:35:00.255,Waiter-000002,
101,Signal food complete,2024-05-09 19:44:44.377,Cook-000001,
101,Bring food,2024-05-09 19:53:58.654,Cook helper-000002,
101,Deliver to customer,2024-05-09 19:56:26.238,Waiter-000002,
101,EVENT 8 END,2024-05-09 19:57:58.662,,
1010,Take order,2024-06-18 22:30:00.000,Waiter-000004,
1010,start,2024-06-18 22:30:00.000,,
1010,Review order,2024-06-18 22:31:00.472,Waiter-000002,
1010,Prepare starter,2024-06-18 22:31:12.326,Cook helper-000003,
1010,prepare drinks,2024-06-18 22:31:12.326,Barman-000002,
1010,Bring drinks,2024-06-18 22:31:18.175,Barman-000003,
1010,Review drinks,2024-06-18 22:35:45.799,Waiter-000005,
1010,prepare drinks,2024-06-18 22:36:00.159,Barman-000002,
1010,Bring drinks,2024-06-18 22:38:49.790,Barman-000001,
1010,Review drinks,2024-06-18 22:39:07.372,Waiter-000004,
1010,prepare drinks,2024-06-18 22:40:15.509,Barman-000003,
1010,Bring drinks,2024-06-18 22:42:55.924,Barman-000002,
1010,Review drinks,2024-06-18 22:45:30.490,Waiter-000005,
1010,Prepare main course,2024-06-20 20:05:11.005,Cook-000003,
1010,Signal food complete,2024-06-24 20:03:53.686,Cook-000001,
1010,Bring food,2024-06-24 20:05:58.265,Cook helper-000003,
1010,Deliver to customer,2024-06-24 20:07:35.152,Waiter-000002,
1010,EVENT 8 END,2024-06-24 20:08:25.709,,
1011,Take order,2024-06-18 22:45:00.000,Waiter-000002,
1011,start,2024-06-18 22:45:00.000,,
1011,Review order,2024-06-18 22:45:24.424,Waiter-000001,
1011,prepare drinks,2024-06-18 22:47:57.718,Barman-000001,
1011,Bring drinks,2024-06-18 22:54:56.304,Barman-000003,
1011,Review drinks,2024-06-18 23:04:58.597,Waiter-000005,
1011,Prepare main course,2024-06-20 20:13:00.009,Cook-000003,
1011,Signal food complete,2024-06-24 20:05:58.265,Cook-000001,
1011,Bring food,2024-06-24 20:20:53.798,Cook helper-000002,
1011,Deliver to customer,2024-06-24 20:28:47.565,Waiter-000003,
1011,EVENT 8 END,2024-06-24 20:29:12.775,,
1012,Take order,2024-06-18 23:00:00.000,Waiter-000003,
1012,start,2024-06-18 23:00:00.000,,
1012,Review order,2024-06-18 23:01:21.060,Waiter-000002,
1012,Prepare starter,2024-06-18 23:01:47.417,Cook helper-000003,
1012,prepare drinks,2024-06-18 23:01:47.417,Barman-000002,
1012,Bring drinks,2024-06-18 23:08:55.768,Barman-000001,form-based events(2024-06-18 23:08:55.768)
1012,Review drinks,2024-06-18 23:08:55.768,Waiter-000001,form-based events(2024-06-18 23:11:28.288)
1012,Signal food complete,2024-06-20 20:42:38.800,Cook-000003,
1012,Bring food,2024-06-20 20:50:56.815,Cook helper-000003,
1012,Deliver to customer,2024-06-20 20:56:02.451,Waiter-000004,
1012,EVENT 8 END,2024-06-20 20:58:30.210,,
1013,Take order,2024-06-18 23:15:00.000,Waiter-000003,
1013,start,2024-06-18 23:15:00.000,,
1013,Review order,2024-06-18 23:17:59.988,Waiter-000002,
1013,Prepare starter,2024-06-18 23:18:03.847,Cook helper-000002,
1013,prepare drinks,2024-06-18 23:18:03.847,Barman-000003,
1013,Bring drinks,2024-06-18 23:25:18.947,Barman-000002,
1013,Review drinks,2024-06-18 23:27:31.636,Waiter-000004,
1013,prepare drinks,2024-06-18 23:30:11.925,Barman-000001,
1013,Bring drinks,2024-06-18 23:38:02.078,Barman-000003,
1013,Review drinks,2024-06-18 23:45:46.832,Waiter-000001,
1013,prepare drinks,2024-06-18 23:46:47.559,Barman-000003,
1013,Bring drinks,2024-06-18 23:56:36.169,Barman-000002,
1013,Review drinks,2024-06-18 23:58:31.825,Waiter-000005,
1013,prepare drinks,2024-06-18 23:58:34.716,Barman-000003,
1013,Bring drinks,2024-06-18 23:59:26.485,Barman-000002,
1013,Review drinks,2024-06-19 00:01:41.349,Waiter-000003,
1013,Signal food complete,2024-06-20 20:50:56.815,Cook-000003,
1013,Bring food,2024-06-20 20:52:36.895,Cook helper-000002,
1013,Deliver to customer,2024-06-20 21:02:55.212,Waiter-000002,
1013,EVENT 8 END,2024-06-20 21:07:23.438,,
1014,Take order,2024-06-18 23:30:00.000,Waiter-000005,
1014,start,2024-06-18 23:30:00.000,,
1014,Review order,2024-06-18 23:31:05.240,Waiter-000001,
1014,prepare drinks,2024-06-18 23:32:19.795,Barman-000003,
1014,Prepare starter,2024-06-18 23:32:34.488,Cook helper-000002,
1014,Bring drinks,2024-06-18 23:34:10.893,Barman-000002,
1014,Review drinks,2024-06-18 23:35:03.791,Waiter-000004,
1014,prepare drinks,2024-06-18 23:38:14.217,Barman-000002,
1014,Bring drinks,2024-06-18 23:49:38.042,Barman-000001,
1014,Review drinks,2024-06-19 00:01:55.652,Waiter-000005,
1014,Signal food complete,2024-06-20 21:12:15.131,Cook-000003,
1014,Bring food,2024-06-20 21:30:53.732,Cook helper-000002,
1014,Deliver to customer,2024-06-20 21:44:03.552,Waiter-000003,
1014,EVENT 8 END,2024-06-20 21:44:39.669,,
1015,Take order,2024-06-18 23:45:00.000,Waiter-000002,
1015,start,2024-06-18 23:45:00.000,,
1015,Review order,2024-06-18 23:45:43.496,Waiter-000004,
1015,Prepare starter,2024-06-18 23:45:50.763,Cook helper-000002,
1015,prepare drinks,2024-06-18 23:45:50.763,Barman-000001,
1015,Bring drinks,2024-06-18 23:46:54.492,Barman-000001,
1015,Review drinks,2024-06-18 23:46:54.671,Waiter-000003,
1015,Prepare main course,2024-06-20 21:25:23.654,Cook-000001,
1015,Signal food complete,2024-06-24 21:02:34.667,Cook-000002,
1015,Bring food,2024-06-24 21:35:14.436,Cook helper-000002,
1015,Deliver to customer,2024-06-24 21:37:30.777,Waiter-000005,
1015,EVENT 8 END,2024-06-24 21:37:55.745,,
1016,Take order,2024-06-19 00:00:00.000,Waiter-000002,
1016,start,2024-06-19 00:00:00.000,,
1016,Review order,2024-06-19 00:01:03.311,Waiter-000004,
1016,Prepare starter,2024-06-19 00:03:26.232,Cook helper-000003,
1016,prepare drinks,2024-06-19 00:03:26.232,Barman-000003,
1016,Bring drinks,2024-06-19 00:05:26.721,Barman-000002,form-based events(2024-06-19 00:05:26.721)
1016,Review drinks,2024-06-19 00:05:26.721,Waiter-000002,form-based events(2024-06-19 00:14:27.539)
1016,prepare drinks,2024-06-19 00:14:42.796,Barman-000001,
1016,Bring drinks,2024-06-19 00:27:25.903,Barman-000003,form-based events(2024-06-19 00:27:25.903)
1016,Review drinks,2024-06-19 00:27:25.903,Waiter-000002,form-based events(2024-06-19 00:30:53.870)
1016,prepare drinks,2024-06-19 00:31:09.166,Barman-000002,
1016,Bring drinks,2024-06-19 00:34:32.813,Barman-000001,form-based events(2024-06-19 00:34:32.813)
1016,Review drinks,2024-06-19 00:34:32.813,Waiter-000005,form-based events(2024-06-19 00:38:13.086)
1016,Signal food complete,2024-06-20 21:48:19.071,Cook-000001,
1016,Bring food,2024-06-20 22:01:04.493,Cook helper-000001,
1016,Deliver to customer,2024-06-20 22:17:02.871,Waiter-000001,
1016,EVENT 8 END,2024-06-20 22:18:42.117,,
1017,Take order,2024-06-19 00:15:00.000,Waiter-000005,
1017,start,2024-06-19 00:15:00.000,,
1017,Review order,2024-06-19 00:17:34.099,Waiter-000001,
1017,prepare drinks,2024-06-19 00:17:57.007,Barman-000003,
1017,Bring drinks,2024-06-19 00:18:05.988,Barman-000002,
1017,Review drinks,2024-06-19 00:18:12.518,Waiter-000004,
1017,Prepare main course,2024-06-20 22:01:04.493,Cook-000001,
1017,Signal food complete,2024-06-24 21:36:36.213,Cook-000001,
1017,Bring food,2024-06-24 21:54:16.588,Cook helper-000003,
1017,Deliver to customer,2024-06-24 21:55:55.164,Waiter-000002,
1017,EVENT 8 END,2024-06-24 21:58:03.178,,
1018,Take order,2024-06-19 00:30:00.000,Waiter-000003,
1018,start,2024-06-19 00:30:00.000,,
1018,Review order,2024-06-19 00:41:43.549,Waiter-000001,
1018,prepare drinks,2024-06-19 00:41:49.936,Barman-000003,
1018,Bring drinks,2024-06-19 00:51:44.776,Barman-000002,form-based events(2024-06-19 00:51:44.776)
1018,Review drinks,2024-06-19 00:51:44.776,Waiter-000001,form-based events(2024-06-19 00:57:24.613)
1018,Prepare main course,2024-06-20 22:37:15.881,Cook-000001,
1018,Signal food complete,2024-06-24 21:54:16.588,Cook-000001,
1018,Bring food,2024-06-24 23:13:40.366,Cook helper-000002,
1018,Deliver to customer,2024-06-24 23:14:34.018,Waiter-000003,
1018,EVENT 8 END,2024-06-24 23:15:09.121,,
1019,Take order,2024-06-19 00:45:00.000,Waiter-000004,
1019,start,2024-06-19 00:45:00.000,,
1019,Review order,2024-06-19 00:45:38.270,Waiter-000002,
1019,prepare drinks,2024-06-19 00:46:04.021,Barman-000002,
1019,Bring drinks,2024-06-19 00:47:30.359,Barman-000001,
1019,Review drinks,2024-06-19 00:50:24.884,Waiter-000005,
1019,prepare drinks,2024-06-19 00:53:00.992,Barman-000001,
1019,Bring drinks,2024-06-19 00:53:04.155,Barman-000003,
1019,Review drinks,2024-06-19 00:56:01.599,Waiter-000003,
1019,prepare drinks,2024-06-19 00:57:04.794,Barman-000001,
1019,Bring drinks,2024-06-19 01:08:56.567,Barman-000002,
1019,Review drinks,2024-06-19 01:19:38.337,Waiter-000005,
1019,Prepare main course,2024-06-20 22:41:37.068,Cook-000002,
1019,Signal food complete,2024-06-24 21:52:06.365,Cook-000003,
1019,Bring food,2024-06-24 21:55:03.759,Cook helper-000002,
1019,Deliver to customer,2024-06-24 21:55:13.990,Waiter-000005,
1019,EVENT 8 END,2024-06-24 21:56:40.582,,
102,Take order,2024-05-09 19:30:00.000,Waiter-000001,
102,start,2024-05-09 19:30:00.000,,
102,Review order,2024-05-09 19:30:20.924,Waiter-000005,
102,prepare drinks,2024-05-09 19:32:50.292,Barman-000001,
102,Bring drinks,2024-05-09 19:38:43.424,Barman-000002,form-based events(2024-05-09 19:38:43.424)
102,Review drinks,2024-05-09 19:38:43.424,Waiter-000004,form-based events(2024-05-09 19:44:04.689)
102,Prepare main course,2024-05-09 19:58:40.881,Cook-000002,
102,Signal food complete,2024-05-09 20:19:09.524,Cook-000002,
102,Bring food,2024-05-09 21:26:56.449,Cook helper-000001,
102,Deliver to customer,2024-05-09 21:27:02.286,Waiter-000001,
102,EVENT 8 END,2024-05-09 21:28:37.738,,
1020,Take order,2024-06-19 01:00:00.000,Waiter-000004,
1020,start,2024-06-19 01:00:00.000,,
1020,Review order,2024-06-19 01:00:09.186,Waiter-000002,
1020,prepare drinks,2024-06-19 01:00:35.283,Barman-000003,
1020,Bring drinks,2024-06-19 01:03:08.728,Barman-000002,
1020,Review drinks,2024-06-19 01:08:32.053,Waiter-000005,
1020,prepare drinks,2024-06-19 01:08:54.873,Barman-000003,
1020,Bring drinks,2024-06-19 01:16:41.744,Barman-000003,
1020,Review drinks,2024-06-19 01:17:40.063,Waiter-000002,
1020,prepare drinks,2024-06-19 01:19:33.378,Barman-000003,
1020,Bring drinks,2024-06-19 01:20:45.266,Barman-000001,
1020,Review drinks,2024-06-19 01:22:21.027,Waiter-000001,
1020,Prepare main course,2024-06-20 22:56:13.425,Cook-000002,
1020,Signal food complete,2024-06-24 22:53:44.877,Cook-000003,
1020,Bring food,2024-06-24 23:40:53.035,Cook helper-000002,
1020,Deliver to customer,2024-06-24 23:43:29.528,Waiter-000001,
1020,EVENT 8 END,2024-06-24 23:43:40.531,,
1021,Take order,2024-06-19 01:15:00.000,Waiter-000001,
1021,start,2024-06-19 01:15:00.000,,
1021,Review order,2024-06-19 01:15:50.571,Waiter-000004,
1021,prepare drinks,2024-06-19 01:16:23.653,Barman-000001,
1021,Bring drinks,2024-06-19 01:20:12.403,Barman-000002,
1021,Review drinks,2024-06-19 01:22:16.789,Waiter-000003,
1021,Prepare main course,2024-06-20 23:01:19.304,Cook-000001,
1021,Signal food complete,2024-06-24 23:02:10.379,Cook-000002,
1021,Bring food,2024-06-24 23:07:53.017,Cook helper-000003,
1021,Deliver to customer,2024-06-24 23:14:26.927,Waiter-000004,
1021,EVENT 8 END,2024-06-24 23:14:28.124,,
1022,Take order,2024-06-19 01:30:00.000,Waiter-000004,
1022,start,2024-06-19 01:30:00.000,,
1022,Review order,2024-06-19 01:36:18.133,Waiter-000002,
1022,Prepare starter,2024-06-19 01:37:49.699,Cook helper-000002,
1022,prepare drinks,2024-06-19 01:37:49.699,Barman-000003,
1022,Bring drinks,2024-06-19 01:40:45.021,Barman-000002,
1022,Review drinks,2024-06-19 01:53:20.331,Waiter-000003,
1022,prepare drinks,2024-06-19 01:55:09.953,Barman-000002,
1022,Bring drinks,2024-06-19 18:01:15.999,Barman-000001,
1022,Review drinks,2024-06-19 18:08:36.968,Waiter-000005,
1022,Prepare main course,2024-06-20 23:27:24.190,Cook-000002,
1022,Signal food complete,2024-06-24 23:13:40.366,Cook-000001,
1022,Bring food,2024-06-24 23:58:33.049,Cook helper-000001,
1022,Deliver to customer,2024-06-25 00:08:38.194,Waiter-000004,
1022,EVENT 8 END,2024-06-25 00:09:04.810,,
1023,Take order,2024-06-19 01:45:00.000,Waiter-000001,
1023,start,2024-06-19 01:45:00.000,,
1023,Review order,2024-06-19 01:46:58.725,Waiter-000004,
1023,Prepare starter,2024-06-19 01:48:36.535,Cook helper-000003,
1023,prepare drinks,2024-06-19 01:48:36.535,Barman-000001,
1023,Bring drinks,2024-06-19 01:50:01.369,Barman-000003,
1023,Review drinks,2024-06-19 01:50:56.375,Waiter-000005,
1023,prepare drinks,2024-06-19 01:52:29.779,Barman-000001,
1023,Bring drinks,2024-06-19 01:53:24.216,Barman-000003,
1023,Review drinks,2024-06-19 01:57:00.818,Waiter-000001,
1023,prepare drinks,2024-06-19 18:01:18.568,Barman-000003,
1023,Bring drinks,2024-06-19 18:06:15.284,Barman-000003,
1023,Review drinks,2024-06-19 18:12:40.367,Waiter-000003,
1023,Prepare main course,2024-06-20 23:28:11.405,Cook-000001,
1023,Signal food complete,2024-06-24 23:07:53.017,Cook-000002,
1023,Bring food,2024-06-24 23:09:54.174,Cook helper-000001,
1023,Deliver to customer,2024-06-24 23:10:00.952,Waiter-000001,
1023,EVENT 8 END,2024-06-24 23:10:58.600,,
1024,start,2024-06-19 02:00:00.000,,
1024,Take order,2024-06-19 18:00:00.000,Waiter-000004,
1024,Review order,2024-06-19 18:00:39.316,Waiter-000002,
1024,prepare drinks,2024-06-19 18:03:46.901,Barman-000002,
1024,Bring drinks,2024-06-19 18:06:12.095,Barman-000002,
1024,Review drinks,2024-06-19 18:23:55.272,Waiter-000003,
1024,Prepare main course,2024-06-20 23:46:37.271,Cook-000003,
1024,Signal food complete,2024-06-24 23:42:31.776,Cook-000002,
1024,Bring food,2024-06-25 00:00:36.110,Cook helper-000003,
1024,Deliver to customer,2024-06-25 00:12:47.421,Waiter-000005,
1024,EVENT 8 END,2024-06-25 00:14:57.893,,
1025,Take order,2024-06-19 18:15:00.000,Waiter-000004,
1025,start,2024-06-19 18:15:00.000,,
1025,Review order,2024-06-19 18:19:56.935,Waiter-000005,
1025,prepare drinks,2024-06-19 18:21:32.191,Barman-000001,
1025,Bring drinks,2024-06-19 18:21:55.696,Barman-000003,form-based events(2024-06-19 18:21:55.696)
1025,Review drinks,2024-06-19 18:21:55.696,Waiter-000001,form-based events(2024-06-19 18:27:34.648)
1025,prepare drinks,2024-06-19 18:32:26.547,Barman-000002,
1025,Bring drinks,2024-06-19 18:39:44.754,Barman-000001,form-based events(2024-06-19 18:39:44.754)
1025,Review drinks,2024-06-19 18:39:44.754,Waiter-000003,form-based events(2024-06-19 18:39:53.846)
