,Case,Activity,Timestamp,Resource,label
33136,4,Signal food complete,2024-05-06 19:01:41.077,Cook-000002,
33135,4,prepare drinks,2024-05-06 19:01:45.513,Barman-000003,
33137,4,Drink handling,2024-05-06 19:11:57.561,Barman-000002,HOMONYMOUS(Bring drinks)
33138,4,Drink handling,2024-05-06 19:16:42.082,Waiter-000002,HOMONYMOUS(Review drinks)
33139,4,Food delivery,2024-05-06 19:29:56.764,Cook helper-000002,HOMONYMOUS(Bring food)
33140,4,Deliver to customer,2024-05-06 19:32:28.195,Waiter-000004,
37507,5,Take order,2024-05-06 19:15:00.000,Waiter-000004,
37508,5,Review order,2024-05-06 19:16:14.700,Waiter-000005,
37509,5,Prepare main course,2024-05-06 19:16:27.545,Cook-000003,
37510,5,prepare drinks,2024-05-06 19:16:30.545,Barman-000001,
37511,5,Bring drinks,2024-05-06 19:39:00.219,Barman-000003,
37512,5,Review drinks,2024-05-06 19:41:06.362,Waiter-000002,
37513,5,Signal food complete,2024-05-06 19:57:21.743,Cook-000003,
37514,5,Bring food,2024-05-06 20:07:38.081,Cook helper-000002,
37515,5,Deliver to customer,2024-05-06 20:09:58.152,Waiter-000005,
51356,6,Take order,2024-05-06 19:30:00.000,Waiter-000003,
51357,6,Review order,2024-05-06 19:30:01.617,Waiter-000001,
51358,6,Prepare main course,2024-05-06 19:31:17.792,Cook-000002,
51359,6,prepare drinks,2024-05-06 19:31:20.792,Barman-000003,
51360,6,Bring drinks,2024-05-06 19:31:50.421,Barman-000002,
51361,6,Review drinks,2024-05-06 19:34:50.443,Waiter-000005,
51362,6,Signal food complete,2024-05-06 19:37:16.849,Cook-000002,
51363,6,Bring food,2024-05-06 20:34:05.125,Cook helper-000001,
51364,6,Deliver to customer,2024-05-06 20:34:19.232,Waiter-000002,
19098,7,Take order,2024-05-06 19:45:00.000,Waiter-000003,
19099,7,Review order,2024-05-06 19:51:43.119,Waiter-000001,
19100,7,prepare drinks,2024-05-06 19:53:01.552,Barman-000002,
19101,7,Bring drinks,2024-05-06 19:54:05.837,Barman-000001,
19102,7,Review drinks,2024-05-06 19:54:29.273,Waiter-000005,
19103,7,Prepare main course,2024-05-06 19:56:39.626,Cook-000001,
19104,7,Signal food complete,2024-05-06 21:28:27.029,Cook-000001,
19105,7,Bring food,2024-05-06 21:54:49.690,Cook helper-000003,
19106,7,Deliver to customer,2024-05-06 21:56:07.680,Waiter-000001,
41252,8,Take order,2024-05-06 20:00:00.000,Waiter-000002,
41253,8,Review order,2024-05-06 20:00:01.138,Waiter-000003,
41254,8,Prepare starter,2024-05-06 20:00:04.147,Cook helper-000003,
41255,8,prepare drinks,2024-05-06 20:00:09.147,Barman-000003,
41256,8,Bring drinks,2024-05-06 20:00:54.944,Barman-000002,
41257,8,Review drinks,2024-05-06 20:04:36.073,Waiter-000001,
41258,8,Prepare main course,2024-05-06 20:07:40.081,Cook-000003,
41259,8,Signal food complete,2024-05-06 20:16:46.824,Cook-000003,
41260,8,Bring food,2024-05-06 20:55:46.162,Cook helper-000003,
41261,8,Deliver to customer,2024-05-06 21:00:10.774,Waiter-000002,
51406,9,Take order,2024-05-06 20:15:00.000,Waiter-000002,
51407,9,Order processing,2024-05-06 20:17:11.153,Waiter-000003,HOMONYMOUS(Review order)
51408,9,prepare drinks,2024-05-06 20:18:07.923,Barman-000001,
51409,9,Drink handling,2024-05-06 20:23:37.474,Barman-000003,HOMONYMOUS(Bring drinks)
51410,9,Review drinks,2024-05-06 20:31:01.146,Waiter-000001,
51411,9,Prepare main course,2024-05-06 20:34:07.125,Cook-000002,
51412,9,Signal food complete,2024-05-06 21:00:06.516,Cook-000002,
51413,9,Bring food,2024-05-06 21:07:06.622,Cook helper-000002,
51414,9,Deliver to customer,2024-05-06 21:20:25.348,Waiter-000001,
33536,10,Take order,2024-05-06 20:30:00.000,Waiter-000004,
33537,10,Review order,2024-05-06 20:31:21.530,Waiter-000005,
33538,10,prepare drinks,2024-05-06 20:32:14.910,Barman-000002,
33539,10,Bring drinks,2024-05-06 20:33:38.935,Barman-000001,
33540,10,Review drinks,2024-05-06 20:38:13.994,Waiter-000003,
33541,10,prepare drinks,2024-05-06 20:40:27.120,Barman-000003,
33542,10,Bring drinks,2024-05-06 20:53:19.368,Barman-000001,
33543,10,Prepare main course,2024-05-06 20:54:48.925,Cook-000002,
33544,10,Review drinks,2024-05-06 21:02:35.065,Waiter-000004,
33545,10,Signal food complete,2024-05-06 21:04:57.209,Cook-000003,
33546,10,Bring food,2024-05-06 21:08:26.519,Cook helper-000001,
33547,10,Deliver to customer,2024-05-06 21:15:44.921,Waiter-000002,
13175,11,Take order,2024-05-06 20:45:00.000,Waiter-000004,
13176,11,Order processing,2024-05-06 20:48:48.648,Waiter-000001,HOMONYMOUS(Review order)
13177,11,prepare drinks,2024-05-06 20:49:01.785,Barman-000002,
13178,11,Prepare main course,2024-05-06 20:55:48.162,Cook-000003,
13179,11,Drink handling,2024-05-06 21:06:31.469,Barman-000001,HOMONYMOUS(Bring drinks)
13180,11,Review drinks,2024-05-06 21:07:36.392,Waiter-000001,
13181,11,Signal food complete,2024-05-06 21:08:26.519,Cook-000003,
13182,11,Bring food,2024-05-06 21:50:38.153,Cook helper-000002,
13183,11,Deliver to customer,2024-05-06 21:52:27.104,Waiter-000005,
2149,12,Take order,2024-05-06 21:00:00.000,Waiter-000005,
2150,12,Review order,2024-05-06 21:00:54.933,Waiter-000003,
2151,12,prepare drinks,2024-05-06 21:01:36.654,Barman-000003,
2152,12,Prepare main course,2024-05-06 21:07:08.622,Cook-000002,
2153,12,Bring drinks,2024-05-06 21:14:58.877,Barman-000002,
2154,12,Review drinks,2024-05-06 21:17:57.534,Waiter-000004,
2155,12,prepare drinks,2024-05-06 21:18:38.791,Barman-000003,
2156,12,Signal food complete,2024-05-06 21:19:39.650,Cook-000002,
2157,12,Bring drinks,2024-05-06 21:23:01.198,Barman-000001,
2158,12,Bring food,2024-05-06 21:23:02.711,Cook helper-000003,
2159,12,Review drinks,2024-05-06 21:38:19.096,Waiter-000004,
2160,12,Deliver to customer,2024-05-06 21:39:34.892,Waiter-000005,
16177,13,Take order,2024-05-06 21:15:00.000,Waiter-000005,
16178,13,Review order,2024-05-06 21:15:07.729,Waiter-000003,
16179,13,Drink handling,2024-05-06 21:17:47.504,Barman-000001,HOMONYMOUS(prepare drinks)
16180,13,Prepare main course,2024-05-06 21:19:00.486,Cook-000002,
16181,13,Drink handling,2024-05-06 21:21:46.446,Barman-000002,HOMONYMOUS(Bring drinks)
16182,13,Signal food complete,2024-05-06 21:23:02.711,Cook-000002,
16183,13,Review drinks,2024-05-06 21:32:28.342,Waiter-000002,
16184,13,Food delivery,2024-05-06 22:21:02.434,Cook helper-000003,HOMONYMOUS(Bring food)
16185,13,Deliver to customer,2024-05-06 22:32:42.832,Waiter-000002,
41403,14,Take order,2024-05-06 21:30:00.000,Waiter-000005,
41404,14,Review order,2024-05-06 21:32:44.152,Waiter-000003,
41405,14,Prepare starter,2024-05-06 21:33:36.566,Cook helper-000001,
41406,14,prepare drinks,2024-05-06 21:33:41.566,Barman-000003,
41407,14,Bring drinks,2024-05-06 21:36:01.242,Barman-000002,
41408,14,Review drinks,2024-05-06 21:38:23.082,Waiter-000001,
41409,14,Signal food complete,2024-05-06 21:50:38.153,Cook-000003,
41410,14,Bring food,2024-05-06 22:04:41.356,Cook helper-000001,
41411,14,Deliver to customer,2024-05-06 22:11:26.879,Waiter-000004,
47630,15,Take order,2024-05-06 21:45:00.000,Waiter-000002,
47631,15,Review order,2024-05-06 21:46:56.714,Waiter-000003,
47632,15,prepare drinks,2024-05-06 21:48:47.298,Barman-000003,
47633,15,Bring drinks,2024-05-06 21:49:25.915,Barman-000001,
47634,15,Review drinks,2024-05-06 21:49:48.317,Waiter-000004,
47635,15,Prepare main course,2024-05-06 21:54:51.690,Cook-000001,
47636,15,Signal food complete,2024-05-06 21:56:19.739,Cook-000001,
47637,15,Bring food,2024-05-06 22:25:55.240,Cook helper-000001,
47638,15,Deliver to customer,2024-05-06 22:26:03.883,Waiter-000004,
1897,16,Take order,2024-05-06 22:00:00.000,Waiter-000002,
1898,16,Review order,2024-05-06 22:01:39.892,Waiter-000003,
1899,16,prepare drinks,2024-05-06 22:01:57.609,Barman-000002,
1900,16,Prepare main course,2024-05-06 22:04:43.356,Cook-000003,
1901,16,Bring drinks,2024-05-06 22:07:06.853,Barman-000003,
1902,16,Review drinks,2024-05-06 22:13:15.226,Waiter-000005,
1903,16,prepare drinks,2024-05-06 22:13:33.618,Barman-000001,
1904,16,Bring drinks,2024-05-06 22:19:26.861,Barman-000003,
1905,16,Signal food complete,2024-05-06 22:27:58.644,Cook-000001,
1906,16,Review drinks,2024-05-06 22:50:01.585,Waiter-000005,
1907,16,Bring food,2024-05-06 23:04:03.859,Cook helper-000003,
1908,16,Deliver to customer,2024-05-06 23:04:05.187,Waiter-000004,
44394,17,Order processing,2024-05-06 22:15:00.000,Waiter-000001,HOMONYMOUS(Take order)
44395,17,Review order,2024-05-06 22:18:17.816,Waiter-000002,
44396,17,Prepare food,2024-05-06 22:18:27.728,Cook helper-000002,HOMONYMOUS(Prepare starter)
44397,17,prepare drinks,2024-05-06 22:18:32.728,Barman-000002,
44398,17,Bring drinks,2024-05-06 22:20:05.368,Barman-000001,
44399,17,Prepare food,2024-05-06 22:21:04.434,Cook-000002,HOMONYMOUS(Prepare main course)
44400,17,Drink handling,2024-05-06 22:23:30.646,Waiter-000003,HOMONYMOUS(Review drinks)
44401,17,Signal food complete,2024-05-06 22:24:00.774,Cook-000002,
44402,17,prepare drinks,2024-05-06 22:24:15.802,Barman-000002,
44403,17,Bring drinks,2024-05-06 22:27:53.879,Barman-000001,
44404,17,Bring food,2024-05-06 22:38:55.367,Cook helper-000002,
44405,17,Review drinks,2024-05-06 22:43:38.259,Waiter-000003,
44407,17,Bring drinks,2024-05-06 22:44:19.516,Barman-000001,
44406,17,prepare drinks,2024-05-06 22:44:24.303,Barman-000001,
44408,17,Review drinks,2024-05-06 22:45:06.174,Waiter-000005,
44409,17,Deliver to customer,2024-05-06 22:48:22.455,Waiter-000003,
33292,18,Take order,2024-05-06 22:30:00.000,Waiter-000005,
33293,18,Review order,2024-05-06 22:31:25.044,Waiter-000001,
33294,18,Prepare main course,2024-05-06 22:35:18.569,Cook-000003,
33295,18,prepare drinks,2024-05-06 22:35:21.569,Barman-000002,
33296,18,Signal food complete,2024-05-06 22:37:13.341,Cook-000003,
33297,18,Bring drinks,2024-05-06 22:43:24.354,Barman-000002,
33298,18,Review drinks,2024-05-06 22:45:51.776,Waiter-000002,
33299,18,prepare drinks,2024-05-06 22:49:26.605,Barman-000002,
33300,18,Bring drinks,2024-05-06 22:49:37.255,Barman-000002,
33301,18,Review drinks,2024-05-06 22:53:49.108,Waiter-000004,
33302,18,prepare drinks,2024-05-06 22:53:57.637,Barman-000003,
33303,18,Bring drinks,2024-05-06 23:01:16.851,Barman-000001,
33304,18,Review drinks,2024-05-06 23:02:20.635,Waiter-000002,
33305,18,Bring food,2024-05-07 00:49:26.658,Cook helper-000002,
33306,18,Deliver to customer,2024-05-07 00:50:22.590,Waiter-000003,
27204,19,Take order,2024-05-06 22:45:00.000,Waiter-000004,
27205,19,Review order,2024-05-06 22:47:09.415,Waiter-000001,
27207,19,Prepare starter,2024-05-06 22:48:51.116,Cook helper-000001,
27206,19,Prepare main course,2024-05-06 22:48:53.116,Cook-000002,
27208,19,prepare drinks,2024-05-06 22:48:56.116,Barman-000001,
27209,19,Bring drinks,2024-05-06 22:54:43.596,Barman-000002,
27210,19,Review drinks,2024-05-06 22:54:54.868,Waiter-000001,
27211,19,prepare drinks,2024-05-06 22:58:47.815,Barman-000001,
27212,19,Bring drinks,2024-05-06 23:00:05.070,Barman-000002,
27213,19,Signal food complete,2024-05-06 23:00:39.870,Cook-000002,
27214,19,Review drinks,2024-05-06 23:04:56.399,Waiter-000001,
27215,19,Bring food,2024-05-07 00:05:51.169,Cook helper-000002,
27216,19,Deliver to customer,2024-05-07 00:11:19.104,Waiter-000004,
54741,20,Take order,2024-05-06 23:00:00.000,Waiter-000003,
54742,20,Review order,2024-05-06 23:03:47.094,Waiter-000005,
54744,20,Prepare starter,2024-05-06 23:06:23.195,Cook helper-000002,
54743,20,Prepare main course,2024-05-06 23:06:25.195,Cook-000001,
54745,20,prepare drinks,2024-05-06 23:06:28.195,Barman-000003,
54746,20,Bring drinks,2024-05-06 23:09:15.304,Barman-000001,
54747,20,Review drinks,2024-05-06 23:14:46.763,Waiter-000002,
54748,20,prepare drinks,2024-05-06 23:15:27.781,Barman-000002,
54749,20,Bring drinks,2024-05-06 23:19:45.326,Barman-000003,
54750,20,Review drinks,2024-05-06 23:22:43.189,Waiter-000004,
54751,20,prepare drinks,2024-05-06 23:23:53.832,Barman-000001,
54752,20,Bring drinks,2024-05-06 23:31:48.660,Barman-000003,
54753,20,Review drinks,2024-05-06 23:32:22.831,Waiter-000002,
54754,20,Signal food complete,2024-05-06 23:50:55.024,Cook-000001,
54755,20,Bring food,2024-05-06 23:53:21.674,Cook helper-000003,
54756,20,Deliver to customer,2024-05-06 23:56:29.231,Waiter-000003,
34430,21,Take order,2024-05-06 23:15:00.000,Waiter-000003,
34431,21,Review order,2024-05-06 23:23:54.205,Waiter-000001,
34432,21,Prepare starter,2024-05-06 23:24:28.828,Cook helper-000001,
34433,21,Drink handling,2024-05-06 23:24:33.828,Barman-000002,HOMONYMOUS(prepare drinks)
34434,21,Prepare main course,2024-05-06 23:28:12.639,Cook-000001,
34435,21,Drink handling,2024-05-06 23:35:41.397,Barman-000003,HOMONYMOUS(Bring drinks)
34436,21,Review drinks,2024-05-06 23:37:39.341,Waiter-000003,
34437,21,Signal food complete,2024-05-07 00:05:51.169,Cook-000002,
34438,21,Bring food,2024-05-07 00:11:39.543,Cook helper-000001,
34439,21,Food delivery,2024-05-07 00:18:09.360,Waiter-000002,HOMONYMOUS(Deliver to customer)
12286,22,Take order,2024-05-06 23:30:00.000,Waiter-000005,
12287,22,Review order,2024-05-06 23:33:22.992,Waiter-000004,
12288,22,prepare drinks,2024-05-06 23:35:36.581,Barman-000001,
12289,22,Bring drinks,2024-05-06 23:36:10.150,Barman-000002,
12290,22,Review drinks,2024-05-06 23:38:42.782,Waiter-000001,
12291,22,Prepare main course,2024-05-06 23:53:23.674,Cook-000001,
12292,22,Signal food complete,2024-05-07 00:11:39.543,Cook-000002,
12293,22,Bring food,2024-05-07 00:49:40.496,Cook helper-000003,
12294,22,Deliver to customer,2024-05-07 00:49:59.800,Waiter-000004,
2811,23,Take order,2024-05-06 23:45:00.000,Waiter-000002,
2812,23,Review order,2024-05-06 23:45:02.625,Waiter-000005,
2814,23,Bring drinks,2024-05-06 23:45:40.431,Barman-000003,
2813,23,prepare drinks,2024-05-06 23:45:40.434,Barman-000001,
2815,23,Prepare main course,2024-05-06 23:54:36.040,Cook-000001,
2816,23,Review drinks,2024-05-06 23:55:29.634,Waiter-000004,
2817,23,Signal food complete,2024-05-07 00:50:42.274,Cook-000002,
2818,23,Bring food,2024-05-07 00:57:15.158,Cook helper-000003,
2819,23,Deliver to customer,2024-05-07 00:58:26.910,Waiter-000002,
18629,24,Take order,2024-05-07 00:00:00.000,Waiter-000001,
18630,24,Review order,2024-05-07 00:01:17.079,Waiter-000002,
18631,24,prepare drinks,2024-05-07 00:01:34.424,Barman-000002,
18632,24,Bring drinks,2024-05-07 00:06:29.950,Barman-000001,
18633,24,Review drinks,2024-05-07 00:09:31.404,Waiter-000005,
18634,24,Prepare main course,2024-05-07 00:35:43.446,Cook-000001,
18635,24,Signal food complete,2024-05-07 01:24:49.463,Cook-000003,
18636,24,Bring food,2024-05-07 01:50:36.923,Cook helper-000003,
18637,24,Deliver to customer,2024-05-07 01:53:30.010,Waiter-000003,
40914,25,Take order,2024-05-07 00:15:00.000,Waiter-000003,
40915,25,Order processing,2024-05-07 00:15:43.321,Waiter-000001,HOMONYMOUS(Review order)
40916,25,Prepare food,2024-05-07 00:16:41.791,Cook helper-000003,HOMONYMOUS(Prepare starter)
40917,25,prepare drinks,2024-05-07 00:16:46.791,Barman-000003,
40918,25,Bring drinks,2024-05-07 00:17:27.116,Barman-000002,
40919,25,Drink handling,2024-05-07 00:22:45.498,Waiter-000005,HOMONYMOUS(Review drinks)
40920,25,Signal food complete,2024-05-07 00:49:26.658,Cook-000003,
40921,25,Bring food,2024-05-07 01:23:38.710,Cook helper-000002,
40922,25,Deliver to customer,2024-05-07 01:27:32.263,Waiter-000003,
43914,26,Take order,2024-05-07 00:30:00.000,Waiter-000004,
43915,26,Review order,2024-05-07 00:31:43.561,Waiter-000003,
43916,26,Drink handling,2024-05-07 00:33:18.475,Barman-000001,HOMONYMOUS(prepare drinks)
43917,26,Bring drinks,2024-05-07 00:34:11.381,Barman-000003,
43918,26,Drink handling,2024-05-07 00:35:54.102,Waiter-000001,HOMONYMOUS(Review drinks)
43919,26,Prepare main course,2024-05-07 00:49:42.496,Cook-000002,
43920,26,Signal food complete,2024-05-07 01:17:31.187,Cook-000002,
43921,26,Bring food,2024-05-07 01:32:09.144,Cook helper-000003,
43922,26,Food delivery,2024-05-07 01:32:47.662,Waiter-000001,HOMONYMOUS(Deliver to customer)
1480,27,Take order,2024-05-07 00:45:00.000,Waiter-000002,
1481,27,Review order,2024-05-07 00:49:21.662,Waiter-000005,
1482,27,Prepare starter,2024-05-07 00:50:05.575,Cook helper-000001,
1483,27,prepare drinks,2024-05-07 00:50:10.575,Barman-000002,
1484,27,Bring drinks,2024-05-07 00:50:33.504,Barman-000001,
1485,27,Review drinks,2024-05-07 00:52:47.015,Waiter-000001,
1486,27,prepare drinks,2024-05-07 00:57:01.744,Barman-000003,
1487,27,Prepare main course,2024-05-07 00:57:17.158,Cook-000002,
1488,27,Bring drinks,2024-05-07 01:08:03.120,Barman-000002,
1489,27,Review drinks,2024-05-07 01:10:01.184,Waiter-000001,
1490,27,Signal food complete,2024-05-07 01:23:38.710,Cook-000003,
1491,27,Bring food,2024-05-07 01:24:49.463,Cook helper-000001,
1492,27,Deliver to customer,2024-05-07 01:25:13.870,Waiter-000004,
41022,28,Take order,2024-05-07 01:00:00.000,Waiter-000005,
41023,28,Review order,2024-05-07 01:00:31.077,Waiter-000004,
41024,28,prepare drinks,2024-05-07 01:01:57.659,Barman-000002,
41025,28,Bring drinks,2024-05-07 01:03:06.308,Barman-000001,
41026,28,Review drinks,2024-05-07 01:04:25.658,Waiter-000003,
41027,28,Prepare main course,2024-05-07 01:19:14.352,Cook-000001,
41028,28,Signal food complete,2024-05-07 01:32:09.144,Cook-000002,
41029,28,Bring food,2024-05-07 01:49:12.895,Cook helper-000002,
41030,28,Deliver to customer,2024-05-07 01:51:28.624,Waiter-000005,
32742,29,Take order,2024-05-07 01:15:00.000,Waiter-000002,
32743,29,Review order,2024-05-07 01:15:32.092,Waiter-000005,
32744,29,Drink handling,2024-05-07 01:15:57.340,Barman-000001,HOMONYMOUS(prepare drinks)
32745,29,Prepare main course,2024-05-07 01:20:38.257,Cook-000001,
32746,29,Bring drinks,2024-05-07 01:31:50.553,Barman-000003,
32747,29,Review drinks,2024-05-07 01:32:37.932,Waiter-000005,
32748,29,Signal food complete,2024-05-07 18:21:45.630,Cook-000001,
32749,29,Bring food,2024-05-07 18:40:37.461,Cook helper-000001,
32750,29,Deliver to customer,2024-05-07 18:54:14.217,Waiter-000003,
1764,30,Take order,2024-05-07 01:30:00.000,Waiter-000001,
1765,30,Review order,2024-05-07 01:30:27.482,Waiter-000002,
1766,30,prepare drinks,2024-05-07 01:32:16.366,Barman-000002,
1767,30,Bring drinks,2024-05-07 01:34:54.751,Barman-000001,
1768,30,Review drinks,2024-05-07 01:37:02.549,Waiter-000003,
1769,30,Prepare main course,2024-05-07 01:49:14.895,Cook-000002,
1770,30,Signal food complete,2024-05-07 18:07:54.748,Cook-000003,
1771,30,Bring food,2024-05-07 18:17:07.543,Cook helper-000002,
1772,30,Deliver to customer,2024-05-07 18:20:28.927,Waiter-000002,
55573,31,Take order,2024-05-07 01:45:00.000,Waiter-000004,
55574,31,Review order,2024-05-07 01:45:18.174,Waiter-000002,
55575,31,Prepare starter,2024-05-07 01:45:35.382,Cook helper-000001,
55576,31,prepare drinks,2024-05-07 01:45:40.382,Barman-000003,
55577,31,Bring drinks,2024-05-07 01:47:23.177,Barman-000002,
55578,31,Review drinks,2024-05-07 01:48:40.031,Waiter-000001,
55579,31,Prepare main course,2024-05-07 01:50:38.923,Cook-000003,
55580,31,Signal food complete,2024-05-07 18:00:30.873,Cook-000003,
55581,31,Bring food,2024-05-07 18:07:54.748,Cook helper-000001,
55582,31,Deliver to customer,2024-05-07 18:10:42.292,Waiter-000005,
33494,32,Take order,2024-05-07 18:00:00.000,Waiter-000004,
33495,32,Review order,2024-05-07 18:00:49.456,Waiter-000002,
33496,32,prepare drinks,2024-05-07 18:02:05.345,Barman-000001,
33497,32,Bring drinks,2024-05-07 18:03:52.959,Barman-000003,
33498,32,Review drinks,2024-05-07 18:04:19.242,Waiter-000001,
33499,32,Prepare main course,2024-05-07 18:07:30.679,Cook-000002,
33500,32,Signal food complete,2024-05-07 18:16:33.254,Cook-000002,
33501,32,Bring food,2024-05-07 18:34:29.798,Cook helper-000003,
33502,32,Deliver to customer,2024-05-07 18:45:42.527,Waiter-000002,
16220,33,Take order,2024-05-07 18:15:00.000,Waiter-000003,
16221,33,Order processing,2024-05-07 18:15:38.272,Waiter-000004,HOMONYMOUS(Review order)
16222,33,Prepare main course,2024-05-07 18:17:58.526,Cook-000003,
16223,33,prepare drinks,2024-05-07 18:18:01.526,Barman-000002,
16224,33,Drink handling,2024-05-07 18:21:22.273,Barman-000001,HOMONYMOUS(Bring drinks)
16225,33,Signal food complete,2024-05-07 18:22:48.632,Cook-000003,
16226,33,Review drinks,2024-05-07 18:29:43.574,Waiter-000001,
16227,33,Bring food,2024-05-07 19:03:29.344,Cook helper-000002,
16228,33,Deliver to customer,2024-05-07 19:07:38.867,Waiter-000003,
2125,34,Take order,2024-05-07 18:30:00.000,Waiter-000005,
2126,34,Review order,2024-05-07 18:35:56.170,Waiter-000003,
2127,34,Prepare main course,2024-05-07 18:36:22.314,Cook-000002,
2128,34,prepare drinks,2024-05-07 18:36:25.314,Barman-000003,
2129,34,Signal food complete,2024-05-07 18:44:45.959,Cook-000001,
2130,34,Bring food,2024-05-07 18:55:47.328,Cook helper-000003,
2131,34,Bring drinks,2024-05-07 19:00:02.900,Barman-000002,
2132,34,Review drinks,2024-05-07 19:05:19.235,Waiter-000002,
2133,34,Deliver to customer,2024-05-07 19:05:23.021,Waiter-000005,
19674,35,Take order,2024-05-07 18:45:00.000,Waiter-000004,
19675,35,Review order,2024-05-07 18:46:56.495,Waiter-000001,
19677,35,Prepare starter,2024-05-07 18:47:51.586,Cook helper-000002,
19676,35,Prepare main course,2024-05-07 18:47:53.586,Cook-000002,
19678,35,prepare drinks,2024-05-07 18:47:56.586,Barman-000002,
19679,35,Bring drinks,2024-05-07 18:49:02.905,Barman-000001,
19680,35,Signal food complete,2024-05-07 18:49:50.930,Cook-000002,
19681,35,Review drinks,2024-05-07 18:50:00.157,Waiter-000005,
19682,35,Bring food,2024-05-07 20:05:05.234,Cook helper-000001,
19683,35,Deliver to customer,2024-05-07 20:10:32.380,Waiter-000004,
41412,36,Take order,2024-05-07 19:00:00.000,Waiter-000004,
41413,36,Review order,2024-05-07 19:00:10.624,Waiter-000001,
41414,36,Prepare main course,2024-05-07 19:02:07.026,Cook-000001,
41415,36,prepare drinks,2024-05-07 19:02:10.026,Barman-000001,
41416,36,Bring drinks,2024-05-07 19:09:35.384,Barman-000003,
41417,36,Review drinks,2024-05-07 19:18:15.401,Waiter-000002,
41418,36,Signal food complete,2024-05-07 19:19:00.179,Cook-000001,
41419,36,Bring food,2024-05-07 19:24:23.962,Cook helper-000001,
41420,36,Deliver to customer,2024-05-07 19:32:49.593,Waiter-000004,
44341,37,Take order,2024-05-07 19:15:00.000,Waiter-000004,
44342,37,Review order,2024-05-07 19:15:30.919,Waiter-000001,
44343,37,Prepare main course,2024-05-07 19:16:41.325,Cook-000003,
44344,37,prepare drinks,2024-05-07 19:16:44.325,Barman-000002,
44345,37,Bring drinks,2024-05-07 19:20:46.823,Barman-000001,
44346,37,Signal food complete,2024-05-07 19:41:42.479,Cook-000003,
44347,37,Bring food,2024-05-07 19:42:33.343,Cook helper-000003,
44348,37,Review drinks,2024-05-07 19:46:20.821,Waiter-000003,
44349,37,prepare drinks,2024-05-07 19:46:29.535,Barman-000002,
