Case,Activity,Timestamp,Resource,Event,label
10051383,completed subcases content,2014-06-24 07:00:02,2670601,91,form-based (orig=2014-06-24 07:00:04)
10051383,coordination of application,2014-06-24 07:00:05,2670601,77,
10051383,creating cover letter decision,2014-06-24 07:00:06,560912,82,
10051383,creating environmental permit decision,2014-06-24 07:00:07,2670601,90,
10051383,decision date prior to decision,2014-06-24 07:00:07,2670601,79,form-based (orig=2014-06-24 07:00:08)
10051383,enter senddate decision,2014-06-24 07:00:07,560912,84,form-based (orig=2014-06-24 07:00:09)
10051383,enter senddate decision environmental permit,2014-06-24 07:00:10,560912,95,
10051383,generating decision environmental permit,2014-06-24 07:00:11,2670601,89,
10051383,grounds for refusal,2014-06-24 07:00:12,2670601,74,
10051383,phase advice known,2014-06-24 07:00:12,2670601,86,form-based (orig=2014-06-24 07:00:13)
10051383,phase application receptive,2014-06-24 07:00:12,2670601,97,form-based (orig=2014-06-24 07:00:14) ; form-based (orig=2014-06-24 07:00:13)
10051383,phase decision ready,2014-06-24 07:00:13,2670601,96,form-based (orig=2014-06-24 07:00:15)
10051383,phase decision sent,2014-06-24 07:00:16,560912,87,
10051383,phase decision taken,2014-06-24 07:00:17,560912,85,
10051383,procedure change,2014-06-24 07:00:18,2670601,72,
10051383,procedure change after completeness,2014-06-24 07:00:19,2670601,70,
10051383,register objection and appeal periods,2014-06-24 07:00:19,560912,81,form-based (orig=2014-06-24 07:00:20)
10051383,request complete,2014-06-24 07:00:19,2670601,83,form-based (orig=2014-06-24 07:00:21)
10051383,send letter in progress,2014-06-24 07:00:22,2670601,71,
10051383,set decision status,2014-06-24 07:00:23,2670601,94,
10051383,submit decision,2014-06-24 07:00:24,2670601,80,
10051383,suspension ground applicable,2014-06-24 07:00:24,2670601,76,form-based (orig=2014-06-24 07:00:25)
10051383,transcript decision environmental permit to stakeholders,2014-06-24 07:00:24,560912,93,form-based (orig=2014-06-24 07:00:26)
10051383,treat subcases content,2014-06-24 07:00:27,2670601,92,
10051383,enter senddate decision environmental permit,2014-06-26 07:00:09,560912,101,
10051383,record date of decision environmental permit,2014-06-26 07:00:09,560912,99,form-based (orig=2014-06-26 07:00:10)
10051383,set decision phase decision permitting decided,2014-06-26 07:00:09,560912,100,form-based (orig=2014-06-26 07:00:11) ; form-based (orig=2014-06-26 07:00:10)
10051383,start decision phase decision permitting sent,2014-06-26 07:00:10,560912,98,form-based (orig=2014-06-26 07:00:12)
10053042,register submission date request,2014-04-14 07:00:41,9264148,102,
10053042,OLO messaging active,2014-04-17 07:00:43,9264148,103,
10053042,create procedure confirmation,2014-04-17 07:00:43,9264148,107,form-based (orig=2014-04-17 07:00:44)
10053042,create publication document,2014-04-17 07:00:43,9264148,109,form-based (orig=2014-04-17 07:00:45) ; form-based (orig=2014-04-17 07:00:44)
10053042,create subcases completeness,2014-04-17 07:00:44,9264148,108,form-based (orig=2014-04-17 07:00:46) ; form-based (orig=2014-04-17 07:00:44)
10053042,forward to the competent authority,2014-04-17 07:00:44,9264148,105,form-based (orig=2014-04-17 07:00:47) ; form-based (orig=2014-04-17 07:00:46)
10053042,phase application received,2014-04-17 07:00:46,9264148,110,form-based (orig=2014-04-17 07:00:48)
10053042,registration date publication,2014-04-17 07:00:49,9264148,111,
10053042,regular procedure without MER,2014-04-17 07:00:49,9264148,106,form-based (orig=2014-04-17 07:00:50)
10053042,send confirmation receipt,2014-04-17 07:00:49,9264148,104,form-based (orig=2014-04-17 07:00:51)
10053042,send confirmation receipt,2014-04-17 07:00:52,9264148,112,
10053042,start WABOprocedure,2014-04-17 07:00:53,9264148,113,
10053042,create letter requesting missing data,2014-04-17 07:00:53,2670601,117,form-based (orig=2014-05-26 07:00:05)
10053042,phase asked additional information,2014-04-17 07:00:53,2670601,120,form-based (orig=2014-05-26 07:00:06)
10053042,procedure change,2014-05-26 07:00:07,2670601,118,
10053042,request complete,2014-05-26 07:00:08,2670601,115,
10053042,retrieve missing data,2014-05-26 07:00:09,2670601,119,
10053042,term for supplying missing data,2014-05-26 07:00:10,2670601,116,
10053042,phase additional information received,2014-06-23 07:00:01,2670601,124,
10053042,receive additional information,2014-06-23 07:00:02,2670601,123,
10053042,MER present in supplement,2014-06-23 07:00:02,2670601,125,form-based (orig=2014-06-24 07:00:28)
10053042,article 34  WABO applies,2014-06-23 07:00:02,2670601,130,form-based (orig=2014-06-24 07:00:29)
10053042,ask stakeholders views,2014-06-24 07:00:30,2670601,132,
10053042,assessment of content completed,2014-06-24 07:00:31,2670601,144,
10053042,by law,2014-06-24 07:00:32,2670601,135,
10053042,completed subcases content,2014-06-24 07:00:33,2670601,145,
10053042,coordination of application,2014-06-24 07:00:34,2670601,134,
10053042,creating environmental permit decision,2014-06-24 07:00:34,2670601,143,form-based (orig=2014-06-24 07:00:35)
10053042,decision date prior to decision,2014-06-24 07:00:34,2670601,136,form-based (orig=2014-06-24 07:00:36)
10053042,generating decision environmental permit,2014-06-24 07:00:37,2670601,139,
10053042,grounds for refusal,2014-06-24 07:00:38,2670601,131,
10053042,phase advice known,2014-06-24 07:00:39,2670601,140,
10053042,phase application receptive,2014-06-24 07:00:39,2670601,141,form-based (orig=2014-06-24 07:00:40)
10053042,procedure change,2014-06-24 07:00:39,2670601,129,form-based (orig=2014-06-24 07:00:41)
10053042,procedure change after completeness,2014-06-24 07:00:42,2670601,127,
10053042,request complete,2014-06-24 07:00:43,2670601,126,
10053042,send confirmation receipt additional data,2014-06-24 07:00:44,2670601,137,
10053042,send letter in progress,2014-06-24 07:00:45,2670601,128,
10053042,set decision status,2014-06-24 07:00:46,2670601,138,
10053042,suspension ground applicable,2014-06-24 07:00:47,2670601,133,
10053042,treat subcases content,2014-06-24 07:00:48,2670601,142,
10053042,phase decision ready,2014-06-30 07:00:37,2670601,147,
10053042,submit decision,2014-06-30 07:00:38,2670601,146,
10053042,creating cover letter decision,2014-07-01 07:00:02,560912,149,
10053042,enter senddate decision,2014-07-01 07:00:03,560912,152,
10053042,enter senddate decision environmental permit,2014-07-01 07:00:04,560912,150,
10053042,phase decision sent,2014-07-01 07:00:05,560912,153,
10053042,phase decision taken,2014-07-01 07:00:06,560912,154,
10053042,register objection and appeal periods,2014-07-01 07:00:07,560912,148,
10053042,transcript decision environmental permit to stakeholders,2014-07-01 07:00:08,560912,151,
10053042,enter senddate decision environmental permit,2014-07-03 07:00:29,560912,155,
10053042,record date of decision environmental permit,2014-07-03 07:00:29,560912,157,form-based (orig=2014-07-03 07:00:30)
10053042,set decision phase decision permitting decided,2014-07-03 07:00:29,560912,158,form-based (orig=2014-07-03 07:00:31) ; form-based (orig=2014-07-03 07:00:30)
10053042,start decision phase decision permitting sent,2014-07-03 07:00:30,560912,156,form-based (orig=2014-07-03 07:00:32)
10083315,register submission date request,2014-04-17 07:00:54,560872,159,
10083315,OLO messaging active,2014-04-25 07:00:20,560872,160,
10083315,create procedure confirmation,2014-04-25 07:00:21,560872,164,
10083315,create publication document,2014-04-25 07:00:21,560872,166,form-based (orig=2014-04-25 07:00:22)
10083315,create subcases completeness,2014-04-25 07:00:21,560872,165,form-based (orig=2014-04-25 07:00:23)
10083315,forward to the competent authority,2014-04-25 07:00:21,560872,162,form-based (orig=2014-04-25 07:00:24)
10083315,phase application received,2014-04-25 07:00:21,560872,170,form-based (orig=2014-04-25 07:00:25) ; form-based (orig=2014-04-25 07:00:24)
10083315,registration date publication,2014-04-25 07:00:24,560872,169,form-based (orig=2014-04-25 07:00:26)
10083315,regular procedure without MER,2014-04-25 07:00:27,560872,163,
10083315,send confirmation receipt,2014-04-25 07:00:27,560872,161,form-based (orig=2014-04-25 07:00:28)
10083315,send confirmation receipt,2014-04-25 07:00:27,560872,168,form-based (orig=2014-04-25 07:00:29)
10083315,start WABOprocedure,2014-04-25 07:00:27,560872,167,form-based (orig=2014-04-25 07:00:30)
10083315,create letter requesting missing data,2014-04-25 07:00:27,2670601,174,form-based (orig=2014-05-26 07:00:11)
10083315,phase asked additional information,2014-05-26 07:00:12,2670601,176,
10083315,procedure change,2014-05-26 07:00:12,2670601,175,form-based (orig=2014-05-26 07:00:13)
10083315,request complete,2014-05-26 07:00:12,2670601,172,form-based (orig=2014-05-26 07:00:14) ; form-based (orig=2014-05-26 07:00:13)
10083315,retrieve missing data,2014-05-26 07:00:13,2670601,177,form-based (orig=2014-05-26 07:00:15)
10083315,term for supplying missing data,2014-05-26 07:00:13,2670601,173,form-based (orig=2014-05-26 07:00:16)
10083315,enter senddate retrieve missing data,2014-05-26 07:00:13,2670601,178,form-based (orig=2014-05-27 07:00:54)
10083315,MER present in supplement,2014-07-04 07:00:27,2670601,181,
10083315,enter receipt of additional data,2014-07-04 07:00:28,2670601,179,
10083315,phase additional information received,2014-07-04 07:00:28,2670601,183,form-based (orig=2014-07-04 07:00:29)
10083315,receive additional information,2014-07-04 07:00:28,2670601,182,form-based (orig=2014-07-04 07:00:30)
10083315,send confirmation receipt additional data,2014-07-04 07:00:31,2670601,180,
10083315,article 34  WABO applies,2014-07-07 07:01:09,2670601,187,
10083315,ask stakeholders views,2014-07-07 07:01:09,2670601,189,form-based (orig=2014-07-07 07:01:10)
10083315,assessment of content completed,2014-07-07 07:01:09,2670601,200,form-based (orig=2014-07-07 07:01:11)
10083315,by law,2014-07-07 07:01:11,2670601,192,form-based (orig=2014-07-07 07:01:12)
10083315,completed subcases content,2014-07-07 07:01:11,2670601,196,form-based (orig=2014-07-07 07:01:13)
10083315,coordination of application,2014-07-07 07:01:13,2670601,191,form-based (orig=2014-07-07 07:01:14)
10083315,creating environmental permit decision,2014-07-07 07:01:13,2670601,199,form-based (orig=2014-07-07 07:01:15)
10083315,decision date prior to decision,2014-07-07 07:01:16,2670601,193,
10083315,generating decision environmental permit,2014-07-07 07:01:16,2670601,203,form-based (orig=2014-07-07 07:01:17)
10083315,grounds for refusal,2014-07-07 07:01:16,2670601,188,form-based (orig=2014-07-07 07:01:18) ; form-based (orig=2014-07-07 07:01:17)
10083315,phase advice known,2014-07-07 07:01:17,2670601,198,form-based (orig=2014-07-07 07:01:19)
10083315,phase application receptive,2014-07-07 07:01:20,2670601,197,
10083315,phase decision ready,2014-07-07 07:01:21,2670601,204,
10083315,procedure change,2014-07-07 07:01:22,2670601,186,
10083315,procedure change after completeness,2014-07-07 07:01:23,2670601,184,
10083315,request complete,2014-07-07 07:01:23,2670601,195,form-based (orig=2014-07-07 07:01:24)
10083315,send letter in progress,2014-07-07 07:01:23,2670601,185,form-based (orig=2014-07-07 07:01:25)
10083315,set decision status,2014-07-07 07:01:26,2670601,202,
10083315,submit decision,2014-07-07 07:01:27,2670601,194,
10083315,suspension ground applicable,2014-07-07 07:01:28,2670601,190,
10083315,treat subcases content,2014-07-07 07:01:29,2670601,201,
10083315,create monitoring case,2014-07-07 07:01:29,560890,210,form-based (orig=2014-07-11 07:00:17)
10083315,creating cover letter decision,2014-07-07 07:01:29,560890,206,form-based (orig=2014-07-11 07:00:18)
10083315,enter senddate decision,2014-07-11 07:00:19,560890,212,
10083315,enter senddate decision environmental permit,2014-07-11 07:00:20,560890,208,
10083315,phase decision sent,2014-07-11 07:00:21,560890,209,
10083315,phase decision taken,2014-07-11 07:00:22,560890,211,
10083315,register objection and appeal periods,2014-07-11 07:00:23,560890,205,
10083315,transcript decision environmental permit to stakeholders,2014-07-11 07:00:24,560890,207,
10083315,enter senddate decision environmental permit,2014-07-11 07:00:24,560890,215,form-based (orig=2014-07-17 07:00:08)
10083315,record date of decision environmental permit,2014-07-11 07:00:24,560890,214,form-based (orig=2014-07-17 07:00:09) ; form-based (orig=2014-07-17 07:00:08)
10083315,set decision phase decision permitting decided,2014-07-17 07:00:08,560890,213,form-based (orig=2014-07-17 07:00:10)
10083315,start decision phase decision permitting sent,2014-07-17 07:00:11,560890,216,
10093171,register submission date request,2014-04-22 07:00:52,560912,217,
10093171,OLO messaging active,2014-04-22 07:00:52,560912,218,form-based (orig=2014-04-29 07:00:51)
10093171,create procedure confirmation,2014-04-22 07:00:52,560912,222,form-based (orig=2014-04-29 07:00:52)
10093171,create publication document,2014-04-22 07:00:52,560912,223,form-based (orig=2014-04-29 07:00:53)
10093171,forward to the competent authority,2014-04-22 07:00:52,560912,220,form-based (orig=2014-04-29 07:00:54)
10093171,phase application received,2014-04-29 07:00:55,560912,224,
10093171,registration date publication,2014-04-29 07:00:56,560912,225,
10093171,regular procedure without MER,2014-04-29 07:00:57,560912,221,
10093171,send confirmation receipt,2014-04-29 07:00:57,560912,219,form-based (orig=2014-04-29 07:00:58)
10093171,send confirmation receipt,2014-04-29 07:00:57,560912,227,form-based (orig=2014-04-29 07:00:59)
10093171,start WABOprocedure,2014-04-29 07:01:00,560912,226,
10093171,article 34  WABO applies,2014-06-12 07:00:08,2670601,233,
10093171,ask stakeholders views,2014-06-12 07:00:09,2670601,235,
10093171,assessment of content completed,2014-06-12 07:00:10,2670601,243,
10093171,by law,2014-06-12 07:00:11,2670601,238,
10093171,completed subcases content,2014-06-12 07:00:12,2670601,242,
10093171,coordination of application,2014-06-12 07:00:13,2670601,237,
10093171,create subcases completeness,2014-06-12 07:00:14,2670601,241,
10093171,creating environmental permit decision,2014-06-12 07:00:15,2670601,250,
10093171,decision date prior to decision,2014-06-12 07:00:15,2670601,239,form-based (orig=2014-06-12 07:00:16)
10093171,generating decision environmental permit,2014-06-12 07:00:15,2670601,245,form-based (orig=2014-06-12 07:00:17)
10093171,grounds for refusal,2014-06-12 07:00:18,2670601,234,
10093171,phase advice known,2014-06-12 07:00:19,2670601,246,
10093171,phase application receptive,2014-06-12 07:00:19,2670601,247,form-based (orig=2014-06-12 07:00:20)
10093171,phase decision ready,2014-06-12 07:00:19,2670601,244,form-based (orig=2014-06-12 07:00:21)
10093171,procedure change,2014-06-12 07:00:22,2670601,229,
10093171,procedure change,2014-06-12 07:00:23,2670601,232,
10093171,request complete,2014-06-12 07:00:24,2670601,230,
10093171,send letter in progress,2014-06-12 07:00:25,2670601,231,
10093171,set decision status,2014-06-12 07:00:25,2670601,249,form-based (orig=2014-06-12 07:00:26)
10093171,submit decision,2014-06-12 07:00:25,2670601,240,form-based (orig=2014-06-12 07:00:27)
10093171,suspension ground applicable,2014-06-12 07:00:28,2670601,236,
10093171,treat subcases content,2014-06-12 07:00:29,2670601,248,
10093171,create monitoring case,2014-07-04 07:00:32,560890,256,
10093171,creating cover letter decision,2014-07-04 07:00:32,560890,252,form-based (orig=2014-07-04 07:00:33)
10093171,enter senddate decision,2014-07-04 07:00:32,560890,253,form-based (orig=2014-07-04 07:00:34) ; form-based (orig=2014-07-04 07:00:33)
10093171,enter senddate decision environmental permit,2014-07-04 07:00:33,560890,255,form-based (orig=2014-07-04 07:00:35)
10093171,phase decision sent,2014-07-04 07:00:36,560890,257,
10093171,phase decision taken,2014-07-04 07:00:36,560890,258,form-based (orig=2014-07-04 07:00:37)
10093171,register objection and appeal periods,2014-07-04 07:00:36,560890,251,form-based (orig=2014-07-04 07:00:38)
10093171,transcript decision environmental permit to stakeholders,2014-07-04 07:00:39,560890,254,
10093171,enter senddate decision environmental permit,2014-07-10 07:00:02,560890,262,
10093171,record date of decision environmental permit,2014-07-10 07:00:03,560890,259,
10093171,set decision phase decision permitting decided,2014-07-10 07:00:03,560890,261,form-based (orig=2014-07-10 07:00:04)
10093171,start decision phase decision permitting sent,2014-07-10 07:00:03,560890,260,form-based (orig=2014-07-10 07:00:05)
10128431,register submission date request,2014-04-25 07:00:31,560872,263,
10128431,OLO messaging active,2014-04-25 07:00:31,560872,264,form-based (orig=2014-04-29 07:01:01)
10128431,create procedure confirmation,2014-04-25 07:00:31,560872,268,form-based (orig=2014-04-29 07:01:02)
10128431,create publication document,2014-04-29 07:01:03,560872,270,
10128431,create subcases completeness,2014-04-29 07:01:04,560872,269,
10128431,forward to the competent authority,2014-04-29 07:01:05,560872,266,
10128431,phase application received,2014-04-29 07:01:06,560872,273,
10128431,registration date publication,2014-04-29 07:01:07,560872,274,
10128431,regular procedure without MER,2014-04-29 07:01:08,560872,267,
10128431,send confirmation receipt,2014-04-29 07:01:09,560872,265,
10128431,send confirmation receipt,2014-04-29 07:01:10,560872,271,
10128431,start WABOprocedure,2014-04-29 07:01:10,560872,272,form-based (orig=2014-04-29 07:01:11)
10128431,create letter requesting missing data,2014-04-29 07:01:10,2670601,279,form-based (orig=2014-05-26 07:00:17)
10128431,enter receipt of additional data,2014-05-26 07:00:18,560872,276,
10128431,phase asked additional information,2014-05-26 07:00:19,2670601,281,
10128431,procedure change,2014-05-26 07:00:20,2670601,280,
10128431,request complete,2014-05-26 07:00:21,2670601,277,
10128431,retrieve missing data,2014-05-26 07:00:21,2670601,282,form-based (orig=2014-05-26 07:00:22)
10128431,term for supplying missing data,2014-05-26 07:00:21,2670601,278,form-based (orig=2014-05-26 07:00:23) ; form-based (orig=2014-05-26 07:00:21)
10128431,MER present in supplement,2014-05-26 07:00:21,560872,285,form-based (orig=2014-06-02 07:00:48)
10128431,phase additional information received,2014-06-02 07:00:49,560872,287,
10128431,receive additional information,2014-06-02 07:00:49,560872,286,form-based (orig=2014-06-02 07:00:50)
10128431,send confirmation receipt additional data,2014-06-02 07:00:49,560872,284,form-based (orig=2014-06-02 07:00:51)
10128431,article 34  WABO applies,2014-06-02 07:00:51,2670601,291,form-based (orig=2014-06-17 07:00:04)
10128431,ask stakeholders views,2014-06-02 07:00:51,2670601,293,form-based (orig=2014-06-17 07:00:05)
10128431,assessment of content completed,2014-06-17 07:00:06,2670601,301,
10128431,by law,2014-06-17 07:00:07,2670601,296,
10128431,completed subcases content,2014-06-17 07:00:08,2670601,303,
10128431,coordination of application,2014-06-17 07:00:08,2670601,295,form-based (orig=2014-06-17 07:00:09)
10128431,create monitoring case,2014-06-17 07:00:08,2670601,307,form-based (orig=2014-06-17 07:00:10)
10128431,creating cover letter decision,2014-06-17 07:00:11,560890,299,
10128431,creating environmental permit decision,2014-06-17 07:00:11,2670601,302,form-based (orig=2014-06-17 07:00:12)
10128431,decision date prior to decision,2014-06-17 07:00:11,2670601,297,form-based (orig=2014-06-17 07:00:13)
10128431,enter senddate decision,2014-06-17 07:00:14,560890,315,
10128431,enter senddate decision environmental permit,2014-06-17 07:00:14,560890,308,form-based (orig=2014-06-17 07:00:15)
10128431,generating decision environmental permit,2014-06-17 07:00:14,2670601,312,form-based (orig=2014-06-17 07:00:16)
10128431,grounds for refusal,2014-06-17 07:00:17,2670601,292,
10128431,phase advice known,2014-06-17 07:00:18,2670601,306,
10128431,phase application receptive,2014-06-17 07:00:19,2670601,314,
10128431,phase decision sent,2014-06-17 07:00:20,560890,305,
10128431,phase decision taken,2014-06-17 07:00:21,2670601,313,
10128431,procedure change,2014-06-17 07:00:22,2670601,290,
10128431,procedure change after completeness,2014-06-17 07:00:23,2670601,288,
10128431,register objection and appeal periods,2014-06-17 07:00:24,2670601,298,
10128431,request complete,2014-06-17 07:00:24,2670601,300,form-based (orig=2014-06-17 07:00:25)
10128431,send letter in progress,2014-06-17 07:00:24,2670601,289,form-based (orig=2014-06-17 07:00:26)
10128431,set decision phase decision permitting decided,2014-06-17 07:00:27,2670601,310,
10128431,set decision status,2014-06-17 07:00:28,2670601,316,
10128431,start decision phase decision permitting sent,2014-06-17 07:00:28,560890,311,form-based (orig=2014-06-17 07:00:29)
10128431,suspension ground applicable,2014-06-17 07:00:28,2670601,294,form-based (orig=2014-06-17 07:00:30)
10128431,transcript decision environmental permit to stakeholders,2014-06-17 07:00:31,560890,304,
10128431,treat subcases content,2014-06-17 07:00:32,2670601,309,
10153084,register submission date request,2014-04-29 07:01:12,560872,319,
10153084,OLO messaging active,2014-05-01 07:01:17,560872,320,
10153084,create procedure confirmation,2014-05-01 07:01:18,560872,324,
10153084,create publication document,2014-05-01 07:01:19,560872,325,
10153084,forward to the competent authority,2014-05-01 07:01:19,560872,322,form-based (orig=2014-05-01 07:01:20)
10153084,phase application received,2014-05-01 07:01:19,560872,326,form-based (orig=2014-05-01 07:01:21) ; form-based (orig=2014-05-01 07:01:19)
10153084,registration date publication,2014-05-01 07:01:19,560872,329,form-based (orig=2014-05-01 07:01:22)
10153084,regular procedure without MER,2014-05-01 07:01:23,560872,323,
10153084,send confirmation receipt,2014-05-01 07:01:24,560872,321,
10153084,send confirmation receipt,2014-05-01 07:01:25,560872,327,
10153084,start WABOprocedure,2014-05-01 07:01:26,560872,328,
10153084,create letter requesting missing data,2014-06-02 07:00:52,2670601,334,
10153084,create subcases completeness,2014-06-02 07:00:53,2670601,335,
10153084,phase asked additional information,2014-06-02 07:00:54,2670601,336,
10153084,procedure change,2014-06-02 07:00:55,2670601,331,
10153084,request complete,2014-06-02 07:00:55,2670601,332,form-based (orig=2014-06-02 07:00:56)
10153084,retrieve missing data,2014-06-02 07:00:55,2670601,337,form-based (orig=2014-06-02 07:00:57)
10153084,term for supplying missing data,2014-06-02 07:00:58,2670601,333,
10153084,enter senddate retrieve missing data,2014-06-02 07:00:58,2670601,338,form-based (orig=2014-06-03 07:00:03)
10153084,enter receipt of additional data,2014-06-02 07:00:58,560872,339,form-based (orig=2014-06-04 07:00:10)
10153084,MER present in supplement,2014-06-05 07:00:11,560872,341,
10153084,phase additional information received,2014-06-05 07:00:12,560872,343,
10153084,receive additional information,2014-06-05 07:00:13,560872,342,
10153084,send confirmation receipt additional data,2014-06-05 07:00:14,560872,340,
