,Case,Activity,Timestamp,Resource,label
1887,16,Check for completeness,2023-09-29 17:45:26.578,Clerk-000005,
1888,16,Request info,2023-09-29 17:53:49.426,Manager-000001,
1889,16,info received,2023-09-29 17:58:04.022,,
1890,16,Check for completeness,2023-09-29 17:58:14.022,Clerk-000002,
1891,16,Request info,2023-09-29 18:17:55.674,Manager-000002,
1892,16,info received,2023-09-29 18:38:16.236,,
1893,16,Check for completeness,2023-09-29 18:38:26.236,Clerk-000002,
1894,16,Perform checks,2023-09-29 18:40:28.271,Clerk-000005,
1895,16,Make decision,2023-09-29 18:41:20.445,Manager-000003,
1896,16,Notify accept,2023-09-29 18:49:29.967,Manager-000002,
1897,16,Deliver card,2023-09-29 19:25:53.029,Manager-000005,
42028,17,Verification process,2023-09-29 17:57:31.716,Clerk-000006,HOMONYMOUS(Check for completeness)
42029,17,Verification process,2023-09-29 18:05:01.489,Clerk-000001,HOMONYMOUS(Perform checks)
42030,17,Make decision,2023-09-29 18:09:25.830,Manager-000005,
42031,17,notify reject,2023-09-29 18:27:15.122,Manager-000004,
42032,17,time out,2023-09-29 18:50:25.809,,
31722,18,Check for completeness,2023-09-29 18:06:16.258,Clerk-000004,
31723,18,Perform checks,2023-09-29 18:13:12.412,Clerk-000005,
31724,18,Make decision,2023-09-29 18:20:12.699,Manager-000001,
31725,18,Notify accept,2023-09-29 18:38:19.445,Manager-000005,
31726,18,Deliver card,2023-09-29 18:39:58.666,Manager-000006,
25938,19,Check for completeness,2023-09-29 18:18:58.323,Clerk-000001,
25939,19,Request info,2023-09-29 18:22:09.871,Manager-000006,
25940,19,info received,2023-09-29 18:32:28.853,,
25941,19,Check for completeness,2023-09-29 18:32:38.853,Clerk-000003,
25942,19,Perform checks,2023-09-29 18:48:41.778,Clerk-000001,
25943,19,Make decision,2023-09-29 19:12:46.678,Manager-000005,
25944,19,notify reject,2023-09-29 19:12:59.418,Manager-000003,
25945,19,review request received,2023-09-29 19:40:21.376,,
25946,19,Check for completeness,2023-09-29 19:40:31.376,Clerk-000004,
25947,19,Request info,2023-09-29 19:49:07.575,Manager-000005,
25948,19,info received,2023-09-29 20:26:19.474,,
25949,19,Check for completeness,2023-09-29 20:26:29.474,Clerk-000003,
25950,19,Perform checks,2023-09-29 20:49:15.458,Clerk-000005,
25951,19,Make decision,2023-09-29 20:56:51.655,Manager-000003,
25952,19,Notify accept,2023-09-29 20:57:54.098,Manager-000004,
25953,19,Deliver card,2023-09-29 20:59:45.960,Manager-000001,
52229,20,Check for completeness,2023-09-29 19:19:25.291,Clerk-000002,
52230,20,Request info,2023-09-29 19:23:40.250,Manager-000006,
52231,20,info received,2023-09-29 19:27:24.092,,
52232,20,Check for completeness,2023-09-29 19:27:34.092,Clerk-000005,
52233,20,Request info,2023-09-29 19:39:11.217,Manager-000001,
52234,20,info received,2023-09-29 19:45:50.472,,
52235,20,Check for completeness,2023-09-29 19:46:00.472,Clerk-000006,
52236,20,Request info,2023-09-29 19:46:31.227,Manager-000006,
52237,20,info received,2023-09-29 19:48:39.020,,
52238,20,Check for completeness,2023-09-29 19:48:49.020,Clerk-000001,
52239,20,Perform checks,2023-09-29 20:11:57.183,Clerk-000005,
52240,20,Make decision,2023-09-29 20:13:50.754,Manager-000004,
52241,20,Notify accept,2023-09-29 20:41:11.134,Manager-000001,
52242,20,Deliver card,2023-09-29 20:41:45.634,Manager-000006,
32748,21,Check for completeness,2023-09-29 20:41:51.439,Clerk-000001,
32749,21,Perform checks,2023-09-29 21:00:54.004,Clerk-000002,
32750,21,Make decision,2023-09-29 21:06:42.607,Manager-000006,
32751,21,notify reject,2023-09-29 21:07:22.401,Manager-000002,
32752,21,review request received,2023-09-29 21:42:51.560,,
32753,21,Check for completeness,2023-09-29 21:43:01.560,Clerk-000005,
32754,21,Request info,2023-09-29 21:51:47.651,Manager-000005,
32755,21,Information exchange,2023-09-29 21:52:47.742,,HOMONYMOUS(info received)
32756,21,Check for completeness,2023-09-29 21:52:57.742,Clerk-000001,
32757,21,Request info,2023-09-29 21:56:52.475,Manager-000001,
32758,21,info received,2023-09-29 22:13:45.867,,
32759,21,Verification process,2023-09-29 22:13:55.867,Clerk-000006,HOMONYMOUS(Check for completeness)
32760,21,Perform checks,2023-09-29 22:15:28.052,Clerk-000003,
32761,21,Make decision,2023-09-29 22:17:11.249,Manager-000004,
32762,21,notify reject,2023-09-29 22:18:43.086,Manager-000002,
32763,21,time out,2023-09-29 22:23:17.465,,
11939,22,Check for completeness,2023-09-29 21:09:37.104,Clerk-000004,
11940,22,Request info,2023-09-29 21:59:31.118,Manager-000006,
11941,22,info received,2023-09-29 22:05:00.715,,
11942,22,Check for completeness,2023-09-29 22:05:10.715,Clerk-000002,
11943,22,Request info,2023-09-29 22:06:20.353,Manager-000003,
11944,22,info received,2023-09-29 22:56:49.525,,
11945,22,Check for completeness,2023-09-29 22:56:59.525,Clerk-000005,
11946,22,Request info,2023-09-29 23:00:23.126,Manager-000005,
11947,22,info received,2023-09-29 23:19:05.758,,
11948,22,Check for completeness,2023-09-29 23:19:15.758,Clerk-000001,
11949,22,Request info,2023-09-29 23:28:11.098,Manager-000006,
11950,22,info received,2023-09-29 23:43:55.965,,
11951,22,Check for completeness,2023-09-29 23:44:05.965,Clerk-000004,
11952,22,Perform checks,2023-09-29 23:44:39.493,Clerk-000002,
11953,22,Make decision,2023-09-29 23:46:31.846,Manager-000001,
11954,22,notify reject,2023-09-29 23:54:59.705,Manager-000004,
11955,22,time out,2023-09-30 00:05:34.439,,
2703,23,Check for completeness,2023-09-30 00:48:40.748,Clerk-000006,
2704,23,Perform checks,2023-09-30 00:52:31.910,Clerk-000003,
2705,23,Make decision,2023-09-30 00:56:22.936,Manager-000002,
2706,23,notify reject,2023-09-30 01:03:41.846,Manager-000003,
2707,23,review request received,2023-09-30 01:17:46.782,,
2708,23,Check for completeness,2023-09-30 01:17:56.782,Clerk-000005,
2709,23,Perform checks,2023-09-30 01:21:12.550,Clerk-000001,
2710,23,Make decision,2023-09-30 01:21:30.248,Manager-000005,
2711,23,Notify accept,2023-09-30 01:31:32.510,Manager-000006,
2712,23,Deliver card,2023-09-30 01:34:27.443,Manager-000001,
17914,24,Check for completeness,2023-10-02 02:06:13.754,Clerk-000004,
17915,24,Perform checks,2023-10-02 02:09:30.924,Clerk-000002,
17916,24,Make decision,2023-10-02 02:18:57.364,Manager-000004,
17917,24,Notify accept,2023-10-02 02:19:56.113,Manager-000002,
17918,24,Deliver card,2023-10-02 02:21:26.326,Manager-000003,
38702,25,Check for completeness,2023-10-02 02:15:15.496,Clerk-000006,
38703,25,Verification process,2023-10-02 02:26:30.208,Clerk-000005,HOMONYMOUS(Perform checks)
38704,25,Make decision,2023-10-02 02:46:42.605,Manager-000006,
38705,25,Notify accept,2023-10-02 02:47:25.777,Manager-000001,
38706,25,Deliver card,2023-10-02 02:51:11.550,Manager-000002,
41530,26,Check for completeness,2023-10-02 02:24:49.667,Clerk-000003,
41531,26,Request info,2023-10-02 02:35:50.122,Manager-000005,
41532,26,info received,2023-10-02 02:59:33.495,,
41533,26,Check for completeness,2023-10-02 02:59:43.495,Clerk-000004,
41534,26,Request info,2023-10-02 03:04:34.145,Manager-000003,
41535,26,info received,2023-10-02 03:04:42.705,,
41536,26,Check for completeness,2023-10-02 03:04:52.705,Clerk-000006,
41537,26,Information exchange,2023-10-02 03:13:27.857,Manager-000006,HOMONYMOUS(Request info)
41538,26,info received,2023-10-02 03:21:03.579,,
41539,26,Check for completeness,2023-10-02 03:21:13.579,Clerk-000003,
41540,26,Perform checks,2023-10-02 03:31:33.795,Clerk-000004,
41541,26,Make decision,2023-10-02 03:50:25.984,Manager-000005,
41542,26,notify reject,2023-10-02 03:57:26.426,Manager-000004,
41543,26,review request received,2023-10-02 04:17:17.921,,
41544,26,Check for completeness,2023-10-02 04:17:27.921,Clerk-000004,
41545,26,Information exchange,2023-10-02 04:18:16.134,Manager-000006,HOMONYMOUS(Request info)
41546,26,info received,2023-10-02 04:33:00.924,,
41547,26,Check for completeness,2023-10-02 04:33:10.924,Clerk-000006,
41548,26,Request info,2023-10-02 04:44:00.922,Manager-000005,
41549,26,info received,2023-10-02 04:49:04.560,,
41550,26,Check for completeness,2023-10-02 04:49:14.560,Clerk-000002,
41551,26,Perform checks,2023-10-02 04:59:28.498,Clerk-000001,
41552,26,Make decision,2023-10-02 05:00:23.533,Manager-000004,
41553,26,notify reject,2023-10-02 05:07:29.849,Manager-000003,
41554,26,time out,2023-10-02 05:10:28.616,,
1414,27,Check for completeness,2023-10-02 02:35:38.612,Clerk-000001,
1415,27,Request info,2023-10-02 02:47:52.422,Manager-000004,
1416,27,info received,2023-10-02 03:03:20.832,,
1417,27,Check for completeness,2023-10-02 03:03:30.832,Clerk-000002,
1418,27,Request info,2023-10-02 03:15:57.436,Manager-000001,
1419,27,info received,2023-10-02 03:21:38.352,,
1420,27,Check for completeness,2023-10-02 03:21:48.352,Clerk-000005,
1421,27,Perform checks,2023-10-02 03:25:16.538,Clerk-000001,
1422,27,Make decision,2023-10-02 04:05:20.438,Manager-000006,
1423,27,Notify accept,2023-10-02 04:09:21.023,Manager-000001,
1424,27,Deliver card,2023-10-02 04:10:02.043,Manager-000005,
38770,28,Check for completeness,2023-10-02 03:49:49.031,Clerk-000006,
38771,28,Perform checks,2023-10-02 03:55:14.876,Clerk-000002,
38772,28,Make decision,2023-10-02 04:02:53.440,Manager-000003,
38773,28,notify reject,2023-10-02 04:04:38.433,Manager-000002,
38774,28,review request received,2023-10-02 04:12:29.466,,
38775,28,Check for completeness,2023-10-02 04:12:39.466,Clerk-000005,
38776,28,Perform checks,2023-10-02 04:13:22.011,Clerk-000003,
38777,28,Make decision,2023-10-02 04:16:26.207,Manager-000003,
38778,28,Notify accept,2023-10-02 04:21:12.631,Manager-000001,
38779,28,Deliver card,2023-10-02 04:31:16.152,Manager-000002,
31220,29,Verification process,2023-10-02 05:24:14.094,Clerk-000005,HOMONYMOUS(Check for completeness)
31221,29,Verification process,2023-10-02 05:34:29.426,Clerk-000003,HOMONYMOUS(Perform checks)
31222,29,Decision review,2023-10-02 05:41:14.108,Manager-000001,HOMONYMOUS(Make decision)
31223,29,Notify accept,2023-10-02 05:51:12.013,Manager-000006,
31224,29,Deliver card,2023-10-02 06:10:59.128,Manager-000004,
1681,30,Check for completeness,2023-10-02 05:42:19.668,Clerk-000004,
1682,30,Request info,2023-10-02 05:52:35.453,Manager-000005,
1683,30,info received,2023-10-02 05:57:42.363,,
1684,30,Check for completeness,2023-10-02 05:57:52.363,Clerk-000001,
1685,30,Perform checks,2023-10-02 05:58:43.926,Clerk-000005,
1686,30,Make decision,2023-10-02 06:07:16.031,Manager-000002,
1687,30,notify reject,2023-10-02 06:33:37.019,Manager-000005,
1688,30,review request received,2023-10-02 06:38:09.262,,
1689,30,Check for completeness,2023-10-02 06:38:19.262,Clerk-000003,
1690,30,Request info,2023-10-02 06:39:34.425,Manager-000006,
1691,30,info received,2023-10-02 06:42:00.757,,
1692,30,Check for completeness,2023-10-02 06:42:10.757,Clerk-000004,
1693,30,Perform checks,2023-10-02 06:48:51.594,Clerk-000006,
1694,30,Make decision,2023-10-02 06:53:19.364,Manager-000003,
1695,30,notify reject,2023-10-02 06:59:31.135,Manager-000004,
1696,30,review request received,2023-10-02 07:05:03.394,,
1697,30,Check for completeness,2023-10-02 07:05:13.394,Clerk-000002,
1698,30,Perform checks,2023-10-02 07:08:21.739,Clerk-000003,
1699,30,Make decision,2023-10-02 07:26:14.396,Manager-000006,
1700,30,Notify accept,2023-10-02 07:28:17.295,Manager-000001,
1701,30,Deliver card,2023-10-02 07:29:48.995,Manager-000003,
53102,31,Check for completeness,2023-10-02 05:48:39.561,Clerk-000006,
53103,31,Perform checks,2023-10-02 05:56:02.659,Clerk-000002,
53104,31,Make decision,2023-10-02 06:11:53.392,Manager-000003,
53105,31,notify reject,2023-10-02 06:14:01.523,Manager-000001,
53106,31,time out,2023-10-02 06:42:24.600,,
31905,32,Check for completeness,2023-10-02 06:52:06.060,Clerk-000001,
31906,32,Perform checks,2023-10-02 07:03:28.738,Clerk-000005,
31907,32,Make decision,2023-10-02 07:04:09.558,Manager-000002,
31908,32,Notify accept,2023-10-02 07:18:17.428,Manager-000005,
31909,32,Deliver card,2023-10-02 07:57:29.408,Manager-000004,
15677,33,Verification process,2023-10-02 07:48:55.859,Clerk-000004,HOMONYMOUS(Check for completeness)
15678,33,Verification process,2023-10-02 08:01:31.352,Clerk-000006,HOMONYMOUS(Perform checks)
15679,33,Make decision,2023-10-02 08:06:22.173,Manager-000002,
15680,33,Notify accept,2023-10-02 08:17:10.626,Manager-000006,
15681,33,Deliver card,2023-10-02 08:19:25.321,Manager-000001,
2090,34,Check for completeness,2023-10-02 11:18:14.023,Clerk-000001,
2091,34,Perform checks,2023-10-02 11:18:27.536,Clerk-000005,
2092,34,Make decision,2023-10-02 11:41:33.904,Manager-000003,
2093,34,Notify accept,2023-10-02 11:51:27.177,Manager-000005,
2094,34,Deliver card,2023-10-02 11:52:37.583,Manager-000004,
18884,35,Check for completeness,2023-10-02 12:27:24.477,Clerk-000002,
18885,35,Perform checks,2023-10-02 12:31:02.687,Clerk-000003,
18886,35,Make decision,2023-10-02 12:43:29.450,Manager-000002,
18887,35,notify reject,2023-10-02 12:48:13.381,Manager-000006,
18888,35,time out,2023-10-02 12:50:31.833,,
39128,36,Check for completeness,2023-10-02 12:58:27.972,Clerk-000004,
39129,36,Request info,2023-10-02 13:07:43.351,Manager-000001,
39130,36,info received,2023-10-02 13:14:11.813,,
39131,36,Check for completeness,2023-10-02 13:14:21.813,Clerk-000006,
39132,36,Perform checks,2023-10-02 13:19:25.821,Clerk-000001,
39133,36,Make decision,2023-10-02 13:23:39.609,Manager-000003,
39134,36,notify reject,2023-10-02 13:32:34.595,Manager-000005,
39135,36,review request received,2023-10-02 13:38:06.806,,
39136,36,Check for completeness,2023-10-02 13:38:16.806,Clerk-000002,
39137,36,Request info,2023-10-02 13:38:32.361,Manager-000004,
39138,36,info received,2023-10-02 13:46:49.078,,
39139,36,Check for completeness,2023-10-02 13:46:59.078,Clerk-000006,
39140,36,Request info,2023-10-02 14:17:55.617,Manager-000005,
39141,36,info received,2023-10-02 14:20:11.132,,
39142,36,Check for completeness,2023-10-02 14:20:21.132,Clerk-000001,
39143,36,Perform checks,2023-10-02 14:24:45.103,Clerk-000002,
39144,36,Make decision,2023-10-02 14:37:24.013,Manager-000002,
39145,36,Notify accept,2023-10-02 14:39:44.970,Manager-000004,
39146,36,Deliver card,2023-10-02 15:22:47.009,Manager-000003,
41961,37,Check for completeness,2023-10-02 13:35:00.778,Clerk-000005,
41962,37,Request info,2023-10-02 13:39:43.208,Manager-000002,
41963,37,info received,2023-10-02 13:39:56.760,,
41964,37,Check for completeness,2023-10-02 13:40:06.760,Clerk-000003,
41965,37,Perform checks,2023-10-02 13:43:29.856,Clerk-000004,
41966,37,Make decision,2023-10-02 13:50:11.398,Manager-000006,
41967,37,Notify accept,2023-10-02 14:13:21.042,Manager-000001,
41968,37,Deliver card,2023-10-02 14:17:07.689,Manager-000003,
1882,38,Check for completeness,2023-10-02 14:52:34.683,Clerk-000005,
1883,38,Perform checks,2023-10-02 14:56:25.790,Clerk-000003,
1884,38,Decision review,2023-10-02 15:07:39.216,Manager-000006,HOMONYMOUS(Make decision)
1885,38,Notify accept,2023-10-02 15:11:47.688,Manager-000001,
1886,38,Deliver card,2023-10-02 15:22:28.602,Manager-000005,
39215,39,Check for completeness,2023-10-02 15:25:38.644,Clerk-000004,
39216,39,Request info,2023-10-02 15:29:04.369,Manager-000002,
39217,39,info received,2023-10-02 15:42:11.883,,
39218,39,Check for completeness,2023-10-02 15:42:21.883,Clerk-000006,
39219,39,Perform checks,2023-10-02 15:48:55.790,Clerk-000001,
39220,39,Make decision,2023-10-02 15:55:27.674,Manager-000006,
39221,39,Notify accept,2023-10-02 16:18:53.473,Manager-000001,
39222,39,Deliver card,2023-10-02 16:30:31.646,Manager-000004,
15735,40,Check for completeness,2023-10-02 16:19:34.365,Clerk-000002,
15736,40,Perform checks,2023-10-02 17:03:21.648,Clerk-000005,
15737,40,Make decision,2023-10-02 17:05:09.452,Manager-000005,
15738,40,notify reject,2023-10-02 17:21:50.595,Manager-000003,
15739,40,time out,2023-10-02 17:23:13.173,,
3690,41,Check for completeness,2023-10-02 17:33:27.778,Clerk-000003,
3691,41,Request info,2023-10-02 17:47:34.996,Manager-000002,
3692,41,info received,2023-10-02 17:47:49.995,,
3693,41,Check for completeness,2023-10-02 17:47:59.995,Clerk-000004,
3694,41,Request info,2023-10-02 17:49:49.135,Manager-000006,
3695,41,info received,2023-10-02 18:11:34.682,,
3696,41,Check for completeness,2023-10-02 18:11:44.682,Clerk-000006,
3697,41,Perform checks,2023-10-02 18:13:41.791,Clerk-000001,
3698,41,Make decision,2023-10-02 18:15:28.237,Manager-000001,
3699,41,Notify accept,2023-10-02 18:50:30.119,Manager-000004,
3700,41,Deliver card,2023-10-02 18:54:08.391,Manager-000005,
53957,42,Check for completeness,2023-10-02 18:47:53.063,Clerk-000002,
53958,42,Perform checks,2023-10-02 19:00:41.890,Clerk-000005,
53959,42,Make decision,2023-10-02 19:56:45.515,Manager-000006,
53960,42,Notify accept,2023-10-02 19:57:11.601,Manager-000001,
53961,42,Deliver card,2023-10-02 20:03:30.555,Manager-000004,
31033,43,Check for completeness,2023-10-02 19:09:50.801,Clerk-000003,
31034,43,Perform checks,2023-10-02 19:31:51.551,Clerk-000004,
31035,43,Make decision,2023-10-02 19:38:31.583,Manager-000003,
31036,43,notify reject,2023-10-02 19:55:30.861,Manager-000002,
31037,43,review request received,2023-10-02 20:17:24.999,,
31038,43,Check for completeness,2023-10-02 20:17:34.999,Clerk-000001,
31039,43,Request info,2023-10-02 20:26:22.569,Manager-000005,
31040,43,info received,2023-10-02 20:34:58.931,,
31041,43,Check for completeness,2023-10-02 20:35:08.931,Clerk-000002,
31042,43,Perform checks,2023-10-02 20:42:37.015,Clerk-000003,
