original,error,type,count
Take order,Tke order,Skip,28
Signal food complete,Signal tood complete,Proximity,28
Deliver to customer,Deliver To customer,UpLow,28
Bring food,BriNg fooD,UpLow,28
Review order,review order,UpLow,28
Prepare main course,prePare Main cOUrse,UpLow,28
Bring food,BriNg fOod,UpLow,27
Deliver to customer,Deliver to custoAmer,Insert,27
Review order,Reviewo rder,Interchange,27
Review order,Review orde,Skip,27
Prepare main course,Preapre main course,Interchange,27
Prepare main course,PreparE main course,UpLow,27
Bring food,Bring fodo,Interchange,27
Prepare main course,Prepare maXin course,Insert,27
Signal food complete,Signal ood complete,Skip,27
Prepare main course,Pdepare main course,Proximity,27
Bring food,Bring ofod,Interchange,27
Signal food complete,Sigal food complete,Skip,26
Bring food,BrJing food,Insert,26
Signal food complete,SigInal food complete,Insert,26
Prepare main course,Prepare main ourse,Skip,26
Take order,Takd order,Proximity,26
Bring food,Bripng food,Insert,26
Review order,Review OrdeR,UpLow,26
Review order,iReview order,Insert,26
Take order,ake order,Skip,26
Deliver to customer,DElIver tO custOmEr,UpLow,26
Prepare main course,Perpare main course,Interchange,26
Take order,taKe order,UpLow,25
Take order,TakeI order,Insert,25
Take order,Take oredr,Interchange,25
Deliver to customer,Deilver to customer,Interchange,25
Bring food,Bring foid,Proximity,25
Signal food complete,Signal food cmplete,Skip,25
Review order,Review krder,Proximity,25
Prepare main course,Prepare main cuourse,Insert,25
Review order,Reviewl order,Insert,25
Review order,Review roder,Interchange,25
Signal food complete,SiGNaL foOd compLete,UpLow,25
Take order,TakE order,UpLow,25
Bring food,BrinG FOod,UpLow,25
Review order,eview order,Skip,24
Prepare main course,Preparse main course,Insert,24
Deliver to customer,deliVer tO cUStoMer,UpLow,24
Bring food,Bring foox,Proximity,24
Prepare main course,Preparet main course,Insert,24
Deliver to customer,Deliver to sustomer,Proximity,24
Review order,Review orrer,Proximity,24
Bring food,rBing food,Interchange,24
Signal food complete,Signal food compltee,Interchange,24
Prepare main course,Prepare ain course,Skip,24
Take order,Take ordwer,Insert,24
Review order,Review orddr,Proximity,23
Signal food complete,Zignal food complete,Proximity,23
Review order,RevieCw order,Insert,23
Prepare main course,PArepare main course,Insert,22
Signal food complete,Signal food Complete,UpLow,22
Prepare main course,Prepre main course,Skip,22
Review order,RevieAw order,Insert,22
Signal food complete,SigNal food complete,UpLow,21
Prepare main course,PrepAre MaiN courSe,UpLow,21
Bring food,BriNg food,UpLow,21
Take order,TAkE orDer,UpLow,20
Prepare main course,Prepare mainc ourse,Interchange,20
Take order,Take ordre,Interchange,20
Deliver to customer,Delive rto customer,Interchange,19
Prepare main course,Preoare main course,Proximity,19
Take order,"Ta,e order",Proximity,19
Deliver to customer,DelWiver to customer,Insert,19
Prepare main course,Prepare maincourse,Skip,18
Signal food complete,Signla food complete,Interchange,18
Deliver to customer,"De,iver to customer",Proximity,18
Prepare main course,Prepard main course,Proximity,18
Deliver to customer,deliver to cUStomeR,UpLow,18
Prepare main course,Prepare main couse,Skip,18
Deliver to customer,Deliver to cusyomer,Proximity,17
Prepare starter,Prepare staeter,Proximity,14
Prepare starter,Prepares tarter,Interchange,13
Prepare starter,Prepare startr,Skip,13
Prepare starter,Prepare ztarter,Proximity,12
Prepare starter,Preprae starter,Interchange,11
Prepare starter,Preapre starter,Interchange,11
Prepare starter,Pepare starter,Skip,11
Prepare starter,Prnepare starter,Insert,11
Prepare starter,Preparme starter,Insert,11
Prepare starter,Prepare stzarter,Insert,11
Prepare starter,PreParE StartEr,UpLow,11
Prepare starter,Prepare tsarter,Interchange,11
Prepare starter,Perpare starter,Interchange,10
Prepare starter,Prepare ctarter,Proximity,10
Prepare starter,PrepaRE starteR,UpLow,10
Prepare starter,Prepare strter,Skip,9
Prepare starter,PRepare starter,UpLow,9
Prepare starter,PrEpare stArteR,UpLow,9
Prepare starter,Prcepare starter,Insert,9
Prepare starter,Prepare starte,Skip,9
Prepare starter,Prepsre starter,Proximity,9
Prepare starter,PREpArE staRter,UpLow,8
Prepare starter,Prepare stearter,Insert,7
Prepare starter,Prepare startef,Proximity,6
Prepare starter,Prepare tarter,Skip,6
