original,error,type,count
Deliver card,lDeliver card,Insert,19
notify reject,gotify reject,Proximity,19
Notify accept,Notifya ccept,Interchange,19
notify reject,notifY rejecT,UpLow,19
notify reject,notify rejcet,Interchange,18
notify reject,noPtify reject,Insert,18
notify reject,otify reject,Skip,18
notify reject,jotify reject,Proximity,18
Notify accept,Notivy accept,Proximity,18
Notify accept,Ntoify accept,Interchange,18
time out,tmie out,Interchange,17
notify reject,notify rejct,Skip,17
time out,time oht,Proximity,17
Deliver card,Deliverc ard,Interchange,17
notify reject,ntify reject,Skip,17
notify reject,notify RejecT,UpLow,16
notify reject,notifoy reject,Insert,16
Notify accept,Notify acsept,Proximity,15
time out,rime out,Proximity,15
time out,time ut,Skip,15
time out,timeout,Skip,14
time out,tie out,Skip,14
time out,time ot,Skip,14
time out,tIme Out,UpLow,14
time out,timE out,UpLow,14
time out,"ti,e out",Proximity,13
time out,tiMe out,UpLow,13
time out,time ou,Skip,13
time out,timeC out,Insert,12
time out,timeo ut,Interchange,12
time out,time ouUt,Insert,12
Notify accept,Notif yaccept,Interchange,11
time out,time otu,Interchange,11
time out,tSime out,Insert,11
time out,Time oUt,UpLow,11
time out,timf out,Proximity,11
review request received,rwview request received,Proximity,10
time out,time ojut,Insert,10
time out,timE ouT,UpLow,10
time out,tihe out,Proximity,10
time out,itme out,Interchange,9
review request received,review request receivOed,Insert,8
review request received,review requwst received,Proximity,8
review request received,revie request received,Skip,8
review request received,review request RecEIved,UpLow,7
review request received,rveiew request received,Interchange,6
review request received,reView reQuEst rECeiVeD,UpLow,6
review request received,review requezt received,Proximity,6
review request received,review request Oreceived,Insert,6
review request received,review reqkest received,Proximity,6
review request received,erview request received,Interchange,6
review request received,revew request received,Skip,6
review request received,review requets received,Interchange,6
review request received,review requst received,Skip,6
review request received,review reques received,Skip,6
review request received,review reqVuest received,Insert,6
review request received,Review reQueSt reCeiVEd,UpLow,5
review request received,review request rceeived,Interchange,5
review request received,revieW rEqUest recEiVed,UpLow,5
review request received,reviEw rEquest received,UpLow,5
review request received,rview request received,Skip,5
review request received,review request recevied,Interchange,5
review request received,review Hrequest received,Insert,5
review request received,rNeview request received,Insert,5
review request received,revuew request received,Proximity,5
